time,MFR - total gas,MFR - total oil,MFR - total liquid,MFR - total,Opening fraction,Pressure (inlet),Pressure (outlet),Pressure drop
[s],[kg/s],[?],[kg/s],[kg/s],[-],[Pa],[Pa],[Pa]
0,0,0,0,0,0.22,80,80,0
108.40974739225719,1.72200974929024e-72,26.173126606970524,26.173126606970524,26.173126606970524,0.22,97.6165771031025,80.02248485650028,17.548895849349446
215.05479694997214,2.9200573262565056e-70,24.385001613125926,24.385001613125926,24.385001613125926,0.22,95.22984556612849,80.01937735567678,15.171904150642133
301.9979242488346,1.134684192234357e-70,23.34566793986352,23.34566793986352,23.34566793986352,0.22,93.94253536416177,80.01779873518139,13.889405219779382
408.0997268464807,6.950767471661605e-72,22.401224925505648,22.401224925505648,22.401224925505648,0.22,92.84708189425655,80.01644375930255,12.79804220352601
511.9871983117453,7.744670997946954e-89,21.71178511389922,21.71178511389922,21.71178511389922,0.22,92.10309694402807,80.0155147047167,12.056859487403257
614.2294961065431,2.5798190522881617e-100,21.211340483172002,21.211340483172002,21.211340483172002,0.22,91.5970777239758,80.01487794022431,11.55276049742192
715.2914883483269,1.7091917358027572e-110,20.84981244914734,20.84981244914734,20.84981244914734,0.22,91.24851599682023,80.01442776433163,11.205549989118243
815.5049089193724,1.6730461713271317e-127,20.59319130107826,20.59319130107826,20.59319130107826,0.22,91.00762257944677,80.01411084426051,10.965623568946048
915.1158761883164,7.757166536848735e-141,20.414366136765672,20.414366136765672,20.414366136765672,0.22,90.84142453178671,80.01388972186524,10.800099329623164
1014.3026965845727,1.59472143567718e-152,20.29071462315618,20.29071462315618,20.29071462315618,0.22,90.72649002300587,80.01373645650372,10.68565493877753
1113.191518298194,3.8708476627793414e-159,20.205019560324928,20.205019560324928,20.205019560324928,0.22,90.64658236662177,80.01363017429306,10.606080015123498
1192.148252422617,2.8421297159969235e-168,20.155510717915185,20.155510717915185,20.155510717915185,0.22,90.60028963262452,80.0135688360431,10.55998828445674
