time,Hydrodynamics iterations,MVP total iterations,MVP last iterations,Energy iterations,Custom fluid iterations,Compositional iterations,Mass residual,Momentum residual,Energy residual,Restarts,Time - properties,Time - point model,Time - momentum,Time - MVP total,Time - composition,Time - single component,Time - energy total,Time - energy wall,Time - output,Time - total,Time - momentum matrix,Time - MVP matrix,Time - composition matrix,Time - single component matrix,Time - energy matrix,Time step,Max time step,Min time step,Average time step,CFL max time step
[s],[-],[-],[-],[-],[-],[-],[kg/s],[N],[K],[-],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000000000000000000,0,0
100.0393696551996,20,44,2,1,0,1,5.991948879157547e-12,0.2817672664949814,2.8592729140252628e-05,0,0.974251099047251,0.00437690009130165,0.04811929864808917,0.18915319931693375,0.0007085998659022152,0,0.14171870186692104,0.0019795999978668988,0.013476520594721951,2.4160057000117376,0.0032091004541143775,0.1562582987244241,0,0,0.025564398791175336,6.867628442847833,6.867628442847833,0.4,2.858267704434274,6.867628442847833
203.40585117332816,20,41,2,1,0,1,1.0833304681498959e-12,0.13643268377670076,1.4583394445962998e-05,0,1.0892656993237324,0.00495950022013858,0.06424309860449284,0.2505531999049708,0.000803499948233366,0,0.16853340057423338,0.0024640001938678324,0.019807071023443756,2.6417058000224642,0.004589000658597797,0.20673379889922217,0,0,0.028235898877028376,6.901004883477187,6.901004883477187,0.4,4.068117023466563,6.901004883477187
300.14383410271785,20,40,2,1,0,1,4.85778483171113e-13,0.09606235767334943,1.0317062396926445e-05,0,1.1595410993904807,0.005474900244735181,0.0784392986097373,0.3059692003298551,0.0008790998836047947,0,0.18965720041887835,0.0028631003806367517,0.025039343175222314,2.8069377000210807,0.005762701097410172,0.25240809825481847,0,0,0.030344799219164997,6.915694911756282,6.915694911756282,0.4,4.689747407854966,6.915694911756282
403.92295187123915,20,40,2,1,0,1,3.243687902600336e-14,0.024214833018080643,2.5995604861415054e-06,0,1.198487899499014,0.006077400234062225,0.09483119857031852,0.3682715002214536,0.0009710000595077872,0,0.2098362004617229,0.003293100162409246,0.03171756069675345,2.949571900011506,0.007187301467638463,0.30347069806884974,0,0,0.03223769983742386,6.920151120429715,6.920151120429715,0.4,5.112948757863787,6.920151120429715
500.81504249093945,16,33,1,1,0,1,2.2446391188523256e-07,0.007634506551008006,8.211327377753052e-07,0,1.2126517990836874,0.006549900048412383,0.10816809709649534,0.41901630029315134,0.001037399866618216,0,0.22436580125940964,0.003654800297226757,0.03628396273646131,3.0459754000185058,0.008328302064910533,0.34520839835749945,0,0,0.03365299996221438,6.921286252537105,6.921286252537105,0.4,5.385107983773542,6.921286252537105
604.6378586037297,4,10,2,1,0,1,1.4960594993570629e-13,0.0679391904507631,1.5083572443916233e-05,0,1.2184326990391128,0.007012000016402452,0.1137803967576474,0.43875300028594216,0.0010948000708594916,0,0.23040670156478882,0.003977300424594431,0.04053378691197193,3.0902480999939144,0.008746501931454988,0.3613121985108592,0,0,0.03427019959781319,6.9216514003146585,6.9216514003146585,0.4,5.5984986907752745,6.9216514003146585
701.5418008002382,3,8,2,1,0,1,4.074329122781663e-14,0.0076779879786307605,8.451475889969732e-06,0,1.2209259990486316,0.0073977000429294995,0.11734579649055377,0.4503033004002646,0.0011472001206129787,0,0.23396400205092505,0.004301100561860948,0.04458091339283767,3.114026700030081,0.008978102065157147,0.37062719825189566,0,0,0.03462179936468601,6.9217442560981315,6.9217442560981315,0.4,5.75034262951015,6.9217442560981315
805.3682378871791,3,7,1,1,0,1,8.638975889861521e-07,0.0018815097558117877,2.3433565982005852e-06,0,1.2220104986918159,0.007777400081977247,0.12050229636952281,0.4608414001995698,0.0011970000923611222,0,0.23727420228533447,0.004649600596167145,0.04827436594008528,3.1346149000455625,0.009185801900457593,0.3791418982436881,0,0,0.03493359935237095,6.921772852859593,6.921772852859593,0.4,5.878600276548752,6.921772852859593
902.2731265710809,2,5,1,1,0,1,5.105089535090664e-07,0.008249618604238151,1.3682770823571743e-06,0,1.2228919986519031,0.008182999910786746,0.12356149638071656,0.46933180018095305,0.0012458000564947722,0,0.24036640231497586,0.004981400677934287,0.051848771521575,3.1527202000143006,0.009378901799209418,0.38594239839585504,0,0,0.0352272994350642,6.921780593002916,6.921780593002916,0.4,5.975318719013781,6.921780593002916
1006.0998575072186,2,3,1,1,0,1,1.563968963017043e-07,0.0019402220237918215,4.2520011473997207e-07,0,1.2236173988203518,0.008590799989178775,0.12625439668772742,0.47535359999164944,0.0012954001431353388,0,0.24305550259305164,0.005318200797773895,0.056381155534302986,3.16744310001377,0.00953050149837509,0.3907009987160564,0,0,0.035483499348629266,6.921782877617024,6.921782877617024,0.4,6.060842515103727,6.921782877617024
1033.7869896484412,2,3,1,1,0,1,1.1173003728260445e-07,0.0013813461163480368,3.0223675470414533e-07,0,1.2238423987291753,0.008713299990631638,0.12703199649695307,0.47635699994862085,0.0013128001592122016,0,0.24386420275550336,0.005437100830022242,0.3610275197968606,3.1793829000089318,0.009571501577738674,0.39143469871487474,0,0,0.035567899292800575,6.921783122796615,6.921783122796615,0.4,6.081099939108478,6.921783122796615
