time,position,CO2 mass frac. - gas,CO2 mass frac. - oil,Pipe elevation profile,Heat transfer - gas-wall,Heat transfer - oil-wall,Heat transfer - gas-oil,Heat transfer - average-wall,Heat transfer - OHTC,Heat transfer - surroundings,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Physical flow regime ID - gas/liquid,Pressure,Superficial velocity - continuous gas,Superficial velocity - continuous oil,Superficial velocity - bubbles,Superficial velocity - droplets,Superficial velocity - total gas,Superficial velocity - total liquid,Superficial velocity - total,Temperature - gas,Temperature - oil,Temperature - average,Temperature - surroundings,CO2 mGas total,CO2 mOil total,CO2 mTotal,Velocity - gas,Velocity - oil,VF - continuous gas,VF - continuous oil,VF - bubbles,VF - droplets,VF - total gas,VF - total oil,Wall temperature - inner surface
[s],[m],[-],[-],[m],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[?],[Bar],[?],[?],[m/s],[m/s],[m/s],[m/s],[m/s],[C],[C],[C],[C],[?],[?],[?],[m/s],[m/s],[?],[?],[-],[-],[-],[-],[C]
0,0,,,0,,,,,,,0,40.00000000000001,0,0,0,40.00000000000001,40.00000000000001,,,0,2.0476520867076653,0,0,0,2.0476520867076653,2.0476520867076653,,,,,,,,2.0476520867076644,2.0476520867076644,,,,,,,
0,16.666666666666668,1,1,,320.835179597542,3871.4337561473626,0,3871.433756147363,394.26161836287093,425.2186540488346,,,,,,,,4,132.64619958707306,,,,,,,,0.31392369880046544,0.31392369880046544,0.31392369880046544,4,,,,,,0,1,0,0,0,1,0.6893091245491405
0,33.333333333333336,,,0,,,,,,,0,40,0,0,0,40,40,,,0,2.047652086707665,0,0,0,2.047652086707665,2.047652086707665,,,,,,,,2.0494766510080473,2.0494766510080447,,,,,,,
0,50,1,1,,312.1457145078702,3863.3422743726305,0,3863.3422743726305,394.1775428704371,425.2186540488346,,,,,,,,4,132.58237550500127,,,,,,,,0.6010362203815021,0.6010362203815021,0.6010362203815021,4,,,,,,0,1,0,0,0,1,0.9478334648550231
0,66.66666666666667,,,0,,,,,,,0,40,0,0,0,40,40,,,0,2.0513044697713254,0,0,0,2.0513044697713254,2.0513044697713254,,,,,,,,2.0529751856359177,2.052975185635915,,,,,,,
0,83.33333333333334,1,1,,303.4775160319138,3861.217749853957,0,3861.217749853957,394.15541530453163,425.2186540488346,,,,,,,,4,132.5184466557313,,,,,,,,0.8654168199936407,0.8654168199936407,0.8654168199936407,4,,,,,,0,1,0,0,0,1,1.1853972437626226
0,100,,,0,,,,,,,0,40,0,0,0,40,40,,,0,2.0546486251983316,0,0,0,2.0546486251983316,2.0546486251983316,,,,,,,,2.0562011747960303,2.0562011747960276,,,,,,,
0,116.66666666666667,1,1,,294.8345676643455,3859.281957037355,0,3859.281957037355,394.1352343906219,425.2186540488346,,,,,,,,4,132.45442043103736,,,,,,,,1.1088834366887568,1.1088834366887568,1.1088834366887568,4,,,,,,0,1,0,0,0,1,1.4041435332045467
0,133.33333333333334,,,0,,,,,,,0,40,0,0,0,40,40,,,0,2.0577560724672326,0,0,0,2.0577560724672326,2.0577560724672326,,,,,,,,2.059198657762162,2.0591986577621593,,,,,,,
0,150,1,1,,286.2536981420225,3857.516678544097,0,3857.516678544097,394.1168152597164,425.2186540488346,,,,,,,,4,132.390303714068,,,,,,,,1.3331073016794903,1.3331073016794903,1.3331073016794903,4,,,,,,0,1,0,0,0,1,1.6055800643375733
0,166.66666666666669,,,0,,,,,,,0,40,0,0,0,40,40,,,0,2.060643267118442,0,0,0,2.060643267118442,2.060643267118442,,,,,,,,2.0619835999479137,2.061983599947911,,,,,,,
