time,Pressure drop - total,Pressure drop - gravity,Pressure drop - friction,Total mass - gas,Total mass - oil,Total mass - total,Total volume - gas,Total volume - oil,Total volume - total
[s],[Pa],[Pa],[Pa],[kg],[kg],[kg],[m³],[m³],[m³]
0,0,0,0,0,18006.967592749173,18006.967592749173,0,20.106192982974683,20.106192982974683
100,0,0,0,0,18006.967592749184,18006.967592749184,0,20.106192982974683,20.106192982974683
200,0,0,0,0,18006.967592749184,18006.967592749184,0,20.106192982974683,20.106192982974683
300,9.383887464431897,0,9.383887464431897,0,18149.894178519928,18149.894178519928,0,20.106192982974683,20.106192982974683
325.01091214944694,17.160068529362754,0,17.160068529362754,0,18273.722372032258,18273.722372032258,0,20.106192982974683,20.106192982974683
341.74534498417444,27.241968771683982,0,27.241968771683982,0,18413.346753549667,18413.346753549667,0,20.106192982974683,20.106192982974683
354.45544518149086,31.14761155529172,0,31.14761155529172,0,18488.379942908163,18488.379942908163,0,20.106192982974683,20.106192982974683
367.187473784982,33.606874630502105,0,33.606874630502105,0,18545.537618600345,18545.537618600345,0,20.106192982974683,20.106192982974683
379.9320044062109,35.26707552214123,0,35.26707552214123,0,18590.889640139627,18590.889640139627,0,20.106192982974683,20.106192982974683
392.6781590687357,36.44845931034124,0,36.44845931034124,0,18627.899142945316,18627.899142945316,0,20.106192982974683,20.106192982974683
405.42014794910733,37.315880487020074,0,37.315880487020074,0,18658.798152129013,18658.798152129013,0,20.106192982974683,20.106192982974683
418.1547062029274,46.26040056957007,0,46.26040056957007,0,18763.998315600584,18763.998315600584,0,20.106192982974683,20.106192982974683
428.5275838671844,50.27814353403023,0,50.27814353403023,0,18828.994000711813,18828.994000711813,0,20.106192982974683,20.106192982974683
438.91862588668107,52.98186517956803,0,52.98186517956803,0,18881.13034645073,18881.13034645073,0,20.106192982974683,20.106192982974683
449.3199950934771,54.8923277359137,0,54.8923277359137,0,18924.294993175077,18924.294993175077,0,20.106192982974683,20.106192982974683
459.71895387086806,56.3093163447544,0,56.3093163447544,0,18960.793906754043,18960.793906754043,0,20.106192982974683,20.106192982974683
470.11103444032784,57.39419847597696,0,57.39419847597696,0,18992.17951377875,18992.17951377875,0,20.106192982974683,20.106192982974683
480.4949976103521,58.24152942891933,0,58.24152942891933,0,19019.56005196903,19019.56005196903,0,20.106192982974683,20.106192982974683
490.87038364837133,58.91243483352549,0,58.91243483352549,0,19043.75637285718,19043.75637285718,0,20.106192982974683,20.106192982974683
501.2028451969808,59.44735712650218,0,59.44735712650218,0,19065.32748732342,19065.32748732342,0,20.106192982974683,20.106192982974683
511.49041105299693,51.72683775281086,0,51.72683775281086,0,19015.252839803714,19015.252839803714,0,20.106192982974683,20.106192982974683
522.4585649486178,47.790355117780656,0,47.790355117780656,0,18982.838981419503,18982.838981419503,0,20.106192982974683,20.106192982974683
533.9107736530094,45.40081912214735,0,45.40081912214735,0,18961.973043377573,18961.973043377573,0,20.106192982974683,20.106192982974683
545.6737284088666,43.91676785984823,0,43.91676785984823,0,18948.944991932003,18948.944991932003,0,20.106192982974683,20.106192982974683
557.6421349923188,42.94992602009399,0,42.94992602009399,0,18941.33401579217,18941.33401579217,0,20.106192982974683,20.106192982974683
569.7503406811691,42.29768464302226,0,42.29768464302226,0,18937.519659457303,18937.519659457303,0,20.106192982974683,20.106192982974683
581.9558106155786,41.84877169947173,0,41.84877169947173,0,18936.381049866228,18936.381049866228,0,20.106192982974683,20.106192982974683
594.2298514349678,41.537318370662,0,41.537318370662,0,18937.122161701947,18937.122161701947,0,20.106192982974683,20.106192982974683
606.5524724768401,41.321550427684485,0,41.321550427684485,0,18939.16875031744,18939.16875031744,0,20.106192982974683,20.106192982974683
618.9094574886375,25.4615866226739,0,25.4615866226739,0,18795.115665472935,18795.115665472935,0,20.106192982974683,20.106192982974683
632.5021410016146,18.317873692080063,0,18.317873692080063,0,18706.391506395026,18706.391506395026,0,20.106192982974683,20.106192982974683
647.4540928658895,14.882050085210455,0,14.882050085210455,0,18649.300431998563,18649.300431998563,0,20.106192982974683,20.106192982974683
663.9012399165919,13.200038538424195,0,13.200038538424195,0,18610.131821943447,18610.131821943447,0,20.106192982974683,20.106192982974683
681.9931016723644,12.307128641949976,0,12.307128641949976,0,18581.550475845506,18581.550475845506,0,20.106192982974683,20.106192982974683
701.8941496037143,11.79347083410821,0,11.79347083410821,0,18559.591808821126,18559.591808821126,0,20.106192982974683,20.106192982974683
723.7853023281991,0.7046947697170125,0,0.7046947697170125,0,18418.428184464246,18418.428184464246,0,20.106192982974683,20.106192982974683
747.8655703251325,-0.03238810623391532,0,-0.03238810623391532,0,18393.796562150837,18393.796562150837,0,20.106192982974683,20.106192982974683
774.3538651217591,0.0027143888226943092,0,0.0027143888226943092,0,18380.620462523475,18380.620462523475,0,20.106192982974683,20.106192982974683
803.4909893980484,0.007515308759156614,0,0.007515308759156614,0,18365.32853144957,18365.32853144957,0,20.106192982974683,20.106192982974683
835.5418261019666,0.007552958226511255,0,0.007552958226511255,0,18348.170355839364,18348.170355839364,0,20.106192982974683,20.106192982974683
870.7977464762768,0.007269998540580273,0,0.007269998540580273,0,18329.52196290686,18329.52196290686,0,20.106192982974683,20.106192982974683
909.5792588880179,0.006644492962104267,0,0.006644492962104267,0,18309.726757713877,18309.726757713877,0,20.106192982974683,20.106192982974683
952.2389225409331,0.005876729601286352,0,0.005876729601286352,0,18289.123461754585,18289.123461754585,0,20.106192982974683,20.106192982974683
999.1645525591398,0.005039612071355805,0,0.005039612071355805,0,18268.028859849146,18268.028859849146,0,20.106192982974683,20.106192982974683
1050.782745579167,0.004212123927776702,0,0.004212123927776702,0,18246.7367117224,18246.7367117224,0,20.106192982974683,20.106192982974683
1107.5627579011973,0.003433036377974786,0,0.003433036377974786,0,18225.51880143241,18225.51880143241,0,20.106192982974683,20.106192982974683
1170.0207714554303,0.002740192942353897,0,0.002740192942353897,0,18204.625444243575,18204.625444243575,0,20.106192982974683,20.106192982974683
1238.724586365087,0.002130330583169125,0,0.002130330583169125,0,18184.28602817987,18184.28602817987,0,20.106192982974683,20.106192982974683
1314.2987827657091,0.0016247313755378128,0,0.0016247313755378128,0,18164.710382342735,18164.710382342735,0,20.106192982974683,20.106192982974683
1397.4303988063934,0.0012036159865465015,0,0.0012036159865465015,0,18146.083130468156,18146.083130468156,0,20.106192982974683,20.106192982974683
1488.8751764511462,0.0008748839583434165,0,0.0008748839583434165,0,18128.563602896436,18128.563602896436,0,20.106192982974683,20.106192982974683
1588.8751764511462,0.000624018022697419,0,0.000624018022697419,0,18112.358679781413,18112.358679781413,0,20.106192982974683,20.106192982974683
1688.8751764511462,0.0004494337263284252,0,0.0004494337263284252,0,18098.587737208967,18098.587737208967,0,20.106192982974683,20.106192982974683
1788.8751764511462,0.00032057311887387184,0,0.00032057311887387184,0,18086.92726047506,18086.92726047506,0,20.106192982974683,20.106192982974683
1888.8751764511462,0.00022457006635144352,0,0.00022457006635144352,0,18077.02558734712,18077.02558734712,0,20.106192982974683,20.106192982974683
1988.8751764511462,0.00016719036786817015,0,0.00016719036786817015,0,18068.599017521057,18068.599017521057,0,20.106192982974683,20.106192982974683
2088.875176451146,0.00012100192801561207,0,0.00012100192801561207,0,18061.382779604985,18061.382779604985,0,20.106192982974683,20.106192982974683
2188.875176451146,9.13433822011575e-05,0,9.13433822011575e-05,0,18055.188175162773,18055.188175162773,0,20.106192982974683,20.106192982974683
2288.875176451146,6.734258997719735e-05,0,6.734258997719735e-05,0,18049.83611899145,18049.83611899145,0,20.106192982974683,20.106192982974683
2388.875176451146,5.3164316839538514e-05,0,5.3164316839538514e-05,0,18045.211791001304,18045.211791001304,0,20.106192982974683,20.106192982974683
2488.875176451146,4.063803391996771e-05,0,4.063803391996771e-05,0,18041.21487589412,18041.21487589412,0,20.106192982974683,20.106192982974683
2588.875176451146,3.08380564302206e-05,0,3.08380564302206e-05,0,18037.716768961203,18037.716768961203,0,20.106192982974683,20.106192982974683
2688.875176451146,2.280267253983766e-05,0,2.280267253983766e-05,0,18034.644369932063,18034.644369932063,0,20.106192982974683,20.106192982974683
2788.875176451146,1.633359506726265e-05,0,1.633359506726265e-05,0,18031.937829839553,18031.937829839553,0,20.106192982974683,20.106192982974683
2888.875176451146,1.1238445388153196e-05,0,1.1238445388153196e-05,0,18029.546560016934,18029.546560016934,0,20.106192982974683,20.106192982974683
2988.875176451146,6.698007648810744e-06,0,6.698007648810744e-06,0,18027.46185455287,18027.46185455287,0,20.106192982974683,20.106192982974683
3088.875176451146,3.883305517956615e-06,0,3.883305517956615e-06,0,18025.60717246907,18025.60717246907,0,20.106192982974683,20.106192982974683
3188.875176451146,1.7855361150577665e-06,0,1.7855361150577665e-06,0,18023.952495688252,18023.952495688252,0,20.106192982974683,20.106192982974683
