time,Acc. volume - continuous gas,Acc. volume - continuous oil,Acc. volume - bubbles,Acc. volume - droplets,Acc. volume - total gas,Acc. volume - total liquid,Acc. volume - total,Temperature - average,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,MF - continuous gas,MF - continuous oil,MF - bubbles,MF - droplets,MF - total gas,MF - total oil,Pressure,Std. VFR - total gas,Std. VFR - total oil,Temperature - gas,Temperature - oil,VF - continuous gas,VF - continuous oil,VF - bubbles,VF - droplets,VF - total gas,VF - total oil
[s],[?],[?],[?],[?],[?],[?],[?],[C],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[?],[?],[-],[-],[?],[?],[Pa],[?],[?],[C],[C],[?],[?],[-],[-],[-],[-]
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,80,0,0,4,4,0,1,0,0,0,1
100,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,80,0,0,4,4,0,1,0,0,0,1
200,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,80,0,0,4,4,0,1,0,0,0,1
300,0,2.0792302435727024,0,0,0,2.0792302435727024,2.0792302435727024,4.32302368195036,0,18.570734161103672,0,0,0,18.570734161103672,18.570734161103672,0,1,0,0,0,1,80,858762.840187954,0,4.32302368195036,4.32302368195036,0,1,0,0,0,1
325.01091214944694,0,2.7804131232488487,0,0,0,2.7804131232488487,2.7804131232488487,4.278953129982028,0,25.049033289963504,0,0,0,25.049033289963504,25.049033289963504,0,1,0,0,0,1,80,1158337.56411778,0,4.278953129982028,4.278953129982028,0,1,0,0,0,1
341.74534498417444,0,3.3732891031247103,0,0,0,3.3732891031247103,3.3732891031247103,4.273677153182234,0,31.656461688978474,0,0,0,31.656461688978474,31.656461688978474,0,1,0,0,0,1,80,1463883.5877187885,0,4.273677153182234,4.273677153182234,0,1,0,0,0,1
354.45544518149086,0,3.85815114000794,0,0,0,3.85815114000794,3.85815114000794,4.2375470457923825,0,34.09656979985748,0,0,0,34.09656979985748,34.09656979985748,0,1,0,0,0,1,80,1576721.0314884097,0,4.2375470457923825,4.2375470457923825,0,1,0,0,0,1
367.187473784982,0,4.363721144804312,0,0,0,4.363721144804312,4.363721144804312,4.173688151943907,0,35.51071730436657,0,0,0,35.51071730436657,35.51071730436657,0,1,0,0,0,1,80,1642115.1789077683,0,4.173688151943907,4.173688151943907,0,1,0,0,0,1
379.9320044062109,0,4.882708109597117,0,0,0,4.882708109597117,4.882708109597117,4.0952933199163795,0,36.44145218947491,0,0,0,36.44145218947491,36.44145218947491,0,1,0,0,0,1,80,1685154.9707901883,0,4.0952933199163795,4.0952933199163795,0,1,0,0,0,1
392.6781590687357,0,5.410721714848525,0,0,0,5.410721714848525,5.410721714848525,4.012468420240225,0,37.096418191594665,0,0,0,37.096418191594665,37.096418191594665,0,1,0,0,0,1,80,1715442.4359667122,0,4.012468420240225,4.012468420240225,0,1,0,0,0,1
405.42014794910733,0,5.945006319796794,0,0,0,5.945006319796794,5.945006319796794,3.9308902100765977,0,37.575024631276264,0,0,0,37.575024631276264,37.575024631276264,0,1,0,0,0,1,80,1737574.5402716715,0,3.9308902100765977,3.9308902100765977,0,1,0,0,0,1
418.1547062029274,0,6.538084262170557,0,0,0,6.538084262170557,6.538084262170557,3.9175777850279587,0,41.73900174930841,0,0,0,41.73900174930841,41.73900174930841,0,1,0,0,0,1,80,1930128.5225395656,0,3.9175777850279587,3.9175777850279587,0,1,0,0,0,1
428.5275838671844,0,7.044180202868568,0,0,0,7.044180202868568,7.044180202868568,3.8976374264586298,0,43.734073878889234,0,0,0,43.734073878889234,43.734073878889234,0,1,0,0,0,1,80,2022386.25416803,0,3.8976374264586298,3.8976374264586298,0,1,0,0,0,1
438.91862588668107,0,7.565450765497462,0,0,0,7.565450765497462,7.565450765497462,3.855331424641804,0,44.98256809666929,0,0,0,44.98256809666929,44.98256809666929,0,1,0,0,0,1,80,2080120.1289366796,0,3.855331424641804,3.855331424641804,0,1,0,0,0,1
449.3199950934771,0,8.097038856580953,0,0,0,8.097038856580953,8.097038856580953,3.796069349312347,0,45.85009955271447,0,0,0,45.85009955271447,45.85009955271447,0,1,0,0,0,1,80,2120237.2169679194,0,3.796069349312347,3.796069349312347,0,1,0,0,0,1
459.71895387086806,0,8.635613780637204,0,0,0,8.635613780637204,8.635613780637204,3.727465592205874,0,46.49013768013463,0,0,0,46.49013768013463,46.49013768013463,0,1,0,0,0,1,80,2149834.375344304,0,3.727465592205874,3.727465592205874,0,1,0,0,0,1
470.11103444032784,0,9.179173844061276,0,0,0,9.179173844061276,9.179173844061276,3.6551364190284517,0,46.97985337828046,0,0,0,46.97985337828046,46.97985337828046,0,1,0,0,0,1,80,2172480.202923117,0,3.6551364190284517,3.6551364190284517,0,1,0,0,0,1
480.4949976103521,0,9.726409802397562,0,0,0,9.726409802397562,9.726409802397562,3.582456274305116,0,47.36318997459602,0,0,0,47.36318997459602,47.36318997459602,0,1,0,0,0,1,80,2190206.7624303573,0,3.582456274305116,3.582456274305116,0,1,0,0,0,1
490.87038364837133,0,10.276385823046967,0,0,0,10.276385823046967,10.276385823046967,3.511206478634847,0,47.66791126620152,0,0,0,47.66791126620152,47.66791126620152,0,1,0,0,0,1,80,2204297.929724808,0,3.511206478634847,3.511206478634847,0,1,0,0,0,1
501.2028451969808,0,10.826580310288438,0,0,0,10.826580310288438,10.826580310288438,3.4423937268433065,0,47.91229666186532,0,0,0,47.91229666186532,47.91229666186532,0,1,0,0,0,1,80,2215598.995943303,0,3.4423937268433065,3.4423937268433065,0,1,0,0,0,1
511.49041105299693,0,11.339013231829922,0,0,0,11.339013231829922,11.339013231829922,3.3102642817527794,0,44.867492293703165,0,0,0,44.867492293703165,44.867492293703165,0,1,0,0,0,1,80,2074798.7010095553,0,3.3102642817527794,3.3102642817527794,0,1,0,0,0,1
522.4585649486178,0,11.861550751154754,0,0,0,11.861550751154754,11.861550751154754,3.1916840264535153,0,42.95527020284319,0,0,0,42.95527020284319,42.95527020284319,0,1,0,0,0,1,80,1986372.1875733482,0,3.1916840264535153,3.1916840264535153,0,1,0,0,0,1
533.9107736530094,0,12.392375475456278,0,0,0,12.392375475456278,12.392375475456278,3.1048571213287914,0,41.822001203603804,0,0,0,41.822001203603804,41.822001203603804,0,1,0,0,0,1,80,1933966.6501271143,0,3.1048571213287914,3.1048571213287914,0,1,0,0,0,1
545.6737284088666,0,12.928021376586313,0,0,0,12.928021376586313,12.928021376586313,3.0439378086523448,0,41.10754922691888,0,0,0,41.10754922691888,41.10754922691888,0,1,0,0,0,1,80,1900928.3866231914,0,3.0439378086523448,3.0439378086523448,0,1,0,0,0,1
557.6421349923188,0,13.466573901149117,0,0,0,13.466573901149117,13.466573901149117,2.999529189763564,0,40.635922258073464,0,0,0,40.635922258073464,40.635922258073464,0,1,0,0,0,1,80,1879119.0326277404,0,2.999529189763564,2.999529189763564,0,1,0,0,0,1
569.7503406811691,0,14.006959014099666,0,0,0,14.006959014099666,14.006959014099666,2.9644113818224014,0,40.3150224263615,0,0,0,40.3150224263615,40.3150224263615,0,1,0,0,0,1,80,1864279.724256508,0,2.9644113818224014,2.9644113818224014,0,1,0,0,0,1
581.9558106155786,0,14.54855445368329,0,0,0,14.54855445368329,14.54855445368329,2.934065700947997,0,40.09328682936887,0,0,0,40.09328682936887,40.09328682936887,0,1,0,0,0,1,80,1854026.048263289,0,2.934065700947997,2.934065700947997,0,1,0,0,0,1
594.2298514349678,0,15.090980455148975,0,0,0,15.090980455148975,15.090980455148975,2.9059559705169704,0,39.939619572185215,0,0,0,39.939619572185215,39.939619572185215,0,1,0,0,0,1,80,1846920.043240648,0,2.9059559705169704,2.9059559705169704,0,1,0,0,0,1
606.5524724768401,0,15.633991455765122,0,0,0,15.633991455765122,15.633991455765122,2.878765592354739,0,39.83391612802848,0,0,0,39.83391612802848,39.83391612802848,0,1,0,0,0,1,80,1842032.0194751786,0,2.878765592354739,2.878765592354739,0,1,0,0,0,1
618.9094574886375,0,16.066306758634173,0,0,0,16.066306758634173,16.066306758634173,2.752708357239044,0,31.65762398789311,0,0,0,31.65762398789311,31.65762398789311,0,1,0,0,0,1,80,1463937.3356809542,0,2.752708357239044,2.752708357239044,0,1,0,0,0,1
632.5021410016146,0,16.464505604451862,0,0,0,16.464505604451862,16.464505604451862,2.6656059507765804,0,26.52734679086106,0,0,0,26.52734679086106,26.52734679086106,0,1,0,0,0,1,80,1226698.9272015286,0,2.6656059507765804,2.6656059507765804,0,1,0,0,0,1
647.4540928658895,0,16.857684777258953,0,0,0,16.857684777258953,16.857684777258953,2.6320617411859644,0,23.818302447978787,0,0,0,23.818302447978787,23.818302447978787,0,1,0,0,0,1,80,1101425.1176737726,0,2.6320617411859644,2.6320617411859644,0,1,0,0,0,1
663.9012399165919,0,17.264110371296386,0,0,0,17.264110371296386,17.264110371296386,2.637801508773464,0,22.381483544657144,0,0,0,22.381483544657144,22.381483544657144,0,1,0,0,0,1,80,1034982.58117801,0,2.637801508773464,2.637801508773464,0,1,0,0,0,1
681.9931016723644,0,17.69526721162244,0,0,0,17.69526721162244,17.69526721162244,2.667125128410987,0,21.579790210906726,0,0,0,21.579790210906726,21.579790210906726,0,1,0,0,0,1,80,997910.0326035307,0,2.667125128410987,2.667125128410987,0,1,0,0,0,1
701.8941496037143,0,18.159224633839315,0,0,0,18.159224633839315,18.159224633839315,2.7082661583356185,0,21.103392499756,0,0,0,21.103392499756,21.103392499756,0,1,0,0,0,1,80,975880.0661015213,0,2.7082661583356185,2.7082661583356185,0,1,0,0,0,1
723.7853023281991,0,18.31523108691074,0,0,0,18.31523108691074,18.31523108691074,2.7554353849668587,0,6.448432677169597,0,0,0,6.448432677169597,6.448432677169597,0,1,0,0,0,1,80,298193.61542558786,0,2.7554353849668587,2.7554353849668587,0,1,0,0,0,1
747.8655703251325,0,18.342464282718055,0,0,0,18.342464282718055,18.342464282718055,2.8085715749804194,0,1.0228965197825888,0,0,0,1.0228965197825888,1.0228965197825888,0,1,0,0,0,1,80,47301.604391426175,0,2.8085715749804194,2.8085715749804194,0,1,0,0,0,1
774.3538651217591,0,18.35703485998773,0,0,0,18.35703485998773,18.35703485998773,2.8326532804053386,0,0.4974310248876682,0,0,0,0.4974310248876682,0.4974310248876682,0,1,0,0,0,1,80,23002.605929541318,0,2.8326532804053386,2.8326532804053386,0,1,0,0,0,1
803.4909893980484,0,18.37394806652609,0,0,0,18.37394806652609,18.37394806652609,2.8583412398178325,0,0.5248055833736025,0,0,0,0.5248055833736025,0.5248055833736025,0,1,0,0,0,1,80,24268.482302027987,0,2.8583412398178325,2.8583412398178325,0,1,0,0,0,1
835.5418261019666,0,18.392931140225812,0,0,0,18.392931140225812,18.392931140225812,2.8931372525901793,0,0.5353316736462291,0,0,0,0.5353316736462291,0.5353316736462291,0,1,0,0,0,1,80,24755.238242863576,0,2.8931372525901793,2.8931372525901793,0,1,0,0,0,1
870.7977464762768,0,18.413568482014682,0,0,0,18.413568482014682,18.413568482014682,2.9363448425156093,0,0.5288884517133635,0,0,0,0.5288884517133635,0.5288884517133635,0,1,0,0,0,1,80,24457.28558687121,0,2.9363448425156093,2.9363448425156093,0,1,0,0,0,1
909.5792588880179,0,18.435486378916654,0,0,0,18.435486378916654,18.435486378916654,2.986707339088696,0,0.5104315503207346,0,0,0,0.5104315503207346,0.5104315503207346,0,1,0,0,0,1,80,23603.786693208676,0,2.986707339088696,2.986707339088696,0,1,0,0,0,1
952.2389225409331,0,18.4583095655135,0,0,0,18.4583095655135,18.4583095655135,3.04274687663667,0,0.4829728982407408,0,0,0,0.4829728982407408,0.4829728982407408,0,1,0,0,0,1,80,22334.021597042603,0,3.04274687663667,3.04274687663667,0,1,0,0,0,1
999.1645525591398,0,18.48168853693786,0,0,0,18.48168853693786,18.48168853693786,3.102951728299729,0,0.44953610476454353,0,0,0,0.44953610476454353,0.44953610476454353,0,1,0,0,0,1,80,20787.810473492136,0,3.102951728299729,3.102951728299729,0,1,0,0,0,1
1050.782745579167,0,18.50529866053043,0,0,0,18.50529866053043,18.50529866053043,3.1659037980211906,0,0.4124962272842202,0,0,0,0.4124962272842202,0.4124962272842202,0,1,0,0,0,1,80,19074.982638616384,0,3.1659037980211906,3.1659037980211906,0,1,0,0,0,1
1107.5627579011973,0,18.5288389394619,0,0,0,18.5288389394619,18.5288389394619,3.230332875235433,0,0.3736889093791368,0,0,0,0.3736889093791368,0.3736889093791368,0,1,0,0,0,1,80,17280.423400670476,0,3.230332875235433,3.230332875235433,0,1,0,0,0,1
1170.0207714554303,0,18.55203153253298,0,0,0,18.55203153253298,18.55203153253298,3.295132478166238,0,0.3345207615187257,0,0,0,0.3345207615187257,0.3345207615187257,0,1,0,0,0,1,80,15469.178373429755,0,3.295132478166238,3.295132478166238,0,1,0,0,0,1
1238.724586365087,0,18.57462118583019,0,0,0,18.57462118583019,18.57462118583019,3.359352396038787,0,0.29604667246319255,0,0,0,0.29604667246319255,0.29604667246319255,0,1,0,0,0,1,80,13690.028572223928,0,3.359352396038787,3.359352396038787,0,1,0,0,0,1
