time,position,CO2 mass frac. - gas,CO2 mass frac. - oil,Pipe elevation profile,Heat transfer - gas-wall,Heat transfer - oil-wall,Heat transfer - gas-oil,Heat transfer - average-wall,Heat transfer - OHTC,Heat transfer - surroundings,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Physical flow regime ID - gas/liquid,Pressure,Superficial velocity - continuous gas,Superficial velocity - continuous oil,Superficial velocity - bubbles,Superficial velocity - droplets,Superficial velocity - total gas,Superficial velocity - total liquid,Superficial velocity - total,Temperature - gas,Temperature - oil,Temperature - average,Temperature - surroundings,CO2 mGas total,CO2 mOil total,CO2 mTotal,Velocity - gas,Velocity - oil,VF - continuous gas,VF - continuous oil,VF - bubbles,VF - droplets,VF - total gas,VF - total oil,Wall temperature - inner surface
[s],[m],[-],[-],[m],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[?],[Bar],[?],[?],[m/s],[m/s],[m/s],[m/s],[m/s],[C],[C],[C],[C],[?],[?],[?],[m/s],[m/s],[?],[?],[-],[-],[-],[-],[C]
0,0,,,0,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,,,,,0,0,,,,,,,
0,16.666666666666668,1,1,,0,0,0,0,0,0,,,,,,,,0,80,,,,,,,,5,5,5,4,,,,,,0,1,0,0,0,1,4.694943803993567
0,33.333333333333336,,,0,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,,,,,0,0,,,,,,,
0,50,1,1,,0,0,0,0,0,0,,,,,,,,0,80,,,,,,,,5,5,5,4,,,,,,0,1,0,0,0,1,4.694943803993567
0,66.66666666666667,,,0,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,,,,,0,0,,,,,,,
0,83.33333333333334,1,1,,0,0,0,0,0,0,,,,,,,,0,80,,,,,,,,5,5,5,4,,,,,,0,1,0,0,0,1,4.694943803993567
0,100,,,0,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,,,,,0,0,,,,,,,
0,116.66666666666667,1,1,,0,0,0,0,0,0,,,,,,,,0,80,,,,,,,,5,5,5,4,,,,,,0,1,0,0,0,1,4.694943803993567
0,133.33333333333334,,,0,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,,,,,0,0,,,,,,,
0,150,1,1,,0,0,0,0,0,0,,,,,,,,0,80,,,,,,,,5,5,5,4,,,,,,0,1,0,0,0,1,4.694943803993567
0,166.66666666666669,,,0,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,,,,,0,0,,,,,,,
0,183.33333333333337,1,1,,0,0,0,0,0,0,,,,,,,,0,80,,,,,,,,5,5,5,4,,,,,,0,1,0,0,0,1,4.694943803993567
0,200.00000000000003,,,0,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,,,,,0,0,,,,,,,
0,216.66666666666669,1,1,,0,0,0,0,0,0,,,,,,,,0,80,,,,,,,,5,5,5,4,,,,,,0,1,0,0,0,1,4.694943803993567
0,233.33333333333337,,,0,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,,,,,0,0,,,,,,,
0,250.00000000000003,1,1,,0,0,0,0,0,0,,,,,,,,0,80,,,,,,,,5,5,5,4,,,,,,0,1,0,0,0,1,4.694943803993567
0,266.6666666666667,,,0,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,,,,,0,0,,,,,,,
0,283.33333333333337,1,1,,0,0,0,0,0,0,,,,,,,,0,80,,,,,,,,5,5,5,4,,,,,,0,1,0,0,0,1,4.694943803993567
0,300,,,0,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,,,,,0,0,,,,,,,
0,316.66666666666663,1,1,,0,0,0,0,0,0,,,,,,,,0,80,,,,,,,,5,5,5,4,,,,,,0,1,0,0,0,1,4.694943803993567
