time,position,CO2 mass frac. - gas,CO2 mass frac. - oil,Pipe elevation profile,Heat transfer - gas-wall,Heat transfer - oil-wall,Heat transfer - gas-oil,Heat transfer - average-wall,Heat transfer - OHTC,Heat transfer - surroundings,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Physical flow regime ID - gas/liquid,Pressure,Superficial velocity - continuous gas,Superficial velocity - continuous oil,Superficial velocity - bubbles,Superficial velocity - droplets,Superficial velocity - total gas,Superficial velocity - total liquid,Superficial velocity - total,Temperature - gas,Temperature - oil,Temperature - average,Temperature - surroundings,CO2 mGas total,CO2 mOil total,CO2 mTotal,Velocity - gas,Velocity - oil,VF - continuous gas,VF - continuous oil,VF - bubbles,VF - droplets,VF - total gas,VF - total oil,Wall temperature - inner surface
[s],[m],[-],[-],[m],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[?],[Bar],[?],[?],[m/s],[m/s],[m/s],[m/s],[m/s],[C],[C],[C],[C],[?],[?],[?],[m/s],[m/s],[?],[?],[-],[-],[-],[-],[C]
0,0,,,0,,,,,,,0,45.99999999999999,0,0,0,45.99999999999999,45.99999999999999,,,0,2.3232271929771917,0,0,0,2.3232271929771917,2.3232271929771917,,,,,,,,2.3232271929771913,2.3232271929771913,,,,,,,
0,266.6666666666667,,,0,,,,,,,0,46,0,0,0,46,46,,,0,2.34388606554336,0,0,0,2.34388606554336,2.34388606554336,,,,,,,,2.3450057392503276,2.3450057392503245,,,,,,,
0,283.33333333333337,1,1,,295.0193646305012,4310.933594093245,0,4310.933594093245,398.3979672981288,425.2186540488346,,,,,,,,4,148.86357770800325,,,,,,,,1.9340639154889345,1.9340639154889345,1.9340639154889345,4,,,,,,0,1,0,0,0,1,2.1249893720307114
0,300,,,0,,,,,,,0,46,0,0,0,46,46,,,0,2.346126483204168,0,0,0,2.346126483204168,2.346126483204168,,,,,,,,2.347175190868691,2.347175190868688,,,,,,,
0,316.66666666666663,1,1,,286.71477697092166,4309.576395622301,0,4309.576395622301,398.38637261102775,425.2186540488346,,,,,,,,4,148.77969978013084,,,,,,,,2.0790998854586746,2.0790998854586746,2.0790998854586746,4,,,,,,0,1,0,0,0,1,2.25667244009162
0,333.3333333333333,,,0,,,,,,,0,45.99999999999999,0,0,0,45.99999999999999,45.99999999999999,,,0,2.3482248364874008,0,0,0,2.3482248364874008,2.3482248364874008,,,,,,,,2.3492072814335225,2.3492072814335194,,,,,,,
0,350,1,1,,278.5637833028621,4308.321930059636,0,4308.321930059636,398.37564968595495,425.2186540488346,,,,,,,,4,148.6957512249089,,,,,,,,2.2137137646097926,2.2137137646097926,2.2137137646097926,4,,,,,,0,1,0,0,0,1,2.378885926372959
0,366.66666666666663,,,0,,,,,,,0,46.00000000000001,0,0,0,46.00000000000001,46.00000000000001,,,0,2.350190548789864,0,0,0,2.350190548789864,2.350190548789864,,,,,,,,2.3511111471055246,2.3511111471055215,,,,,,,
0,383.33333333333326,1,1,,270.5880364704335,4307.161896406328,0,4307.161896406328,398.365728901845,425.2186540488346,,,,,,,,4,148.61173649297407,,,,,,,,2.3386584544064135,2.3386584544064135,2.3386584544064135,4,,,,,,0,1,0,0,0,1,2.492314926280642
0,399.99999999999994,,,0,,,,,,,0,45.99999999999999,0,0,0,45.99999999999999,45.99999999999999,,,0,2.3520324669229855,0,0,0,2.3520324669229855,2.3520324669229855,,,,,,,,2.3528953614093475,2.3528953614093444,,,,,,,
0,416.66666666666663,1,1,,262.8065687222574,4306.088716296322,0,4306.088716296322,398.3565465829011,425.2186540488346,,,,,,,,4,148.5276597379954,,,,,,,,2.454632130931259,2.454632130931259,2.454632130931259,4,,,,,,0,1,0,0,0,1,2.5975945921749712
