time,position,Pipe elevation profile,Heat transfer - gas-wall,Heat transfer - oil-wall,Heat transfer - gas-oil,Heat transfer - average-wall,Heat transfer - OHTC,Heat transfer - surroundings,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Pressure,Temperature - gas,Temperature - oil,Temperature - average,Temperature - surroundings,CO2 mGas total,CO2 mOil total,CO2 mTotal,Velocity - gas,Velocity - oil
[s],[m],[?],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[Pa],[C],[C],[C],[C],[?],[?],[?],[m/s],[m/s]
203.40585117332816,350,0,,,,,,,0,109.79054445224173,0,1.866768684481986e-36,0,109.79054445224173,109.79054445224173,,,,,,,,,5.621565595529273,5.621565595529266
203.40585117332816,375,,647.6904765349202,9288.956944390779,0,9288.956944390779,419.15727009737736,425.2186540488346,,,,,,,,356.18830609628526,31.116374059248983,31.116374059248983,31.116374059248983,4,,,,,
203.40585117332816,400,0,,,,,,,0,109.74135041666358,0,2.8043637173503153e-36,0,109.74135041666358,109.74135041666358,,,,,,,,,5.588752917034448,5.588752917034441
203.40585117332816,425,,557.0241433436167,8247.658934653648,0,8247.658934653648,416.7828136908656,425.2186540488346,,,,,,,,355.47726071337775,29.575699867180106,29.575699867180106,29.575699867180106,4,,,,,
203.40585117332816,450,0,,,,,,,0,109.66886341049175,0,3.754089905144413e-36,0,109.66886341049175,109.66886341049175,,,,,,,,,5.5516192792390875,5.55161927923908
203.40585117332816,475,,550.0068173975152,8265.025901073894,0,8265.025901073894,416.82707403378515,425.2186540488346,,,,,,,,354.77217845346445,28.107044211135758,28.107044211135758,28.107044211135758,4,,,,,
203.40585117332816,500,0,,,,,,,0,109.58287710042127,0,4.546213020534579e-36,0,109.58287710042127,109.58287710042127,,,,,,,,,5.516632394836183,5.516632394836176
203.40585117332816,525,,543.1215481849133,8280.174129365008,0,8280.174129365008,416.8655358744169,425.2186540488346,,,,,,,,354.07235169866186,26.76165539767004,26.76165539767004,26.76165539767004,4,,,,,
203.40585117332816,550,0,,,,,,,0,109.48348419734573,0,5.0393722965475524e-36,0,109.48348419734573,109.48348419734573,,,,,,,,,5.4841554822582745,5.484155482258267
203.40585117332816,575,,536.3270577027138,8293.24642429612,0,8293.24642429612,416.8986195875352,425.2186540488346,,,,,,,,353.3774336000481,25.52906977561537,25.52906977561537,25.52906977561537,4,,,,,
203.40585117332816,600,0,,,,,,,0,109.37219983972089,0,5.162221795730299e-36,0,109.37219983972089,109.37219983972089,,,,,,,,,5.453878836357894,5.4538788363578865
203.40585117332816,625,,529.5529808655677,8304.583180813714,0,8304.583180813714,416.9272308570269,425.2186540488346,,,,,,,,352.6871780505437,24.396075054291657,24.396075054291657,24.396075054291657,4,,,,,
203.40585117332816,650,0,,,,,,,0,109.25207750114318,0,4.9257403111557855e-36,0,109.25207750114318,109.25207750114318,,,,,,,,,5.425540536426975,5.4255405364269675
203.40585117332816,675,,522.7042263965367,8314.685471498971,0,8314.685471498971,416.9526641860961,425.2186540488346,,,,,,,,352.0013477434677,23.347337074504424,23.347337074504424,23.347337074504424,4,,,,,
203.40585117332816,700,0,,,,,,,0,109.1274794697228,0,4.4074231089626715e-36,0,109.1274794697228,109.1274794697228,,,,,,,,,5.398934408011885,5.398934408011878
203.40585117332816,725,,515.6716976592737,8324.136769021581,0,8324.136769021581,416.97640549378804,425.2186540488346,,,,,,,,351.3197034257679,22.36672140243087,22.36672140243087,22.36672140243087,4,,,,,
203.40585117332816,750,0,,,,,,,0,109.00350523654079,0,3.719348699410049e-36,0,109.00350523654079,109.00350523654079,,,,,,,,,5.3739122612702035,5.373912261270196
203.40585117332816,775,,508.34871538149537,8333.500468779457,0,8333.500468779457,416.99987631124645,425.2186540488346,,,,,,,,350.64199715078433,21.439044551843153,21.439044551843153,21.439044551843153,4,,,,,
203.40585117332816,800,0,,,,,,,0,108.88519112492948,0,2.9749817519055906e-36,0,108.88519112492948,108.88519112492948,,,,,,,,,5.350378736592239,5.350378736592232
203.40585117332816,825,,500.6504114570906,8343.217369827988,0,8343.217369827988,417.0241795369442,425.2186540488346,,,,,,,,349.96797110302066,20.551849721960195,20.551849721960195,20.551849721960195,4,,,,,
203.40585117332816,850,0,,,,,,,0,108.7766647406885,0,2.265388650224836e-36,0,108.7766647406885,108.7766647406885,,,,,,,,,5.328279162343159,5.328279162343152
203.40585117332816,875,,492.5327839338646,8353.52684739019,0,8353.52684739019,417.0499061426722,425.2186540488346,,,,,,,,349.2973618438154,19.696787183696415,19.696787183696415,19.696787183696415,4,,,,,
203.40585117332816,900,0,,,,,,,0,108.6804505931991,0,1.6486658008495813e-36,0,108.6804505931991,108.6804505931991,,,,,,,,,5.307565811055039,5.307565811055032
203.40585117332816,925,,483.9912654829878,8364.460308056952,0,8364.460308056952,417.077124019696,425.2186540488346,,,,,,,,348.62990660064753,18.868673451476297,18.868673451476297,18.868673451476297,4,,,,,
203.40585117332816,950,0,,,,,,,0,108.59707865085096,0,1.1506971249403556e-36,0,108.59707865085096,108.59707865085096,,,,,,,,,5.740362106697207,5.740362106697199
203.40585117332816,975,,247.04513974463856,8562.246400709144,0,8562.246400709144,417.5580778241896,425.2186540488346,,,,,,,,80.44435639153116,8.365846653880112,8.365846653880112,8.365846653880112,4,,,,,
203.40585117332816,1000,0,,,,,,,0,108.52972490423956,0,8.175474953856144e-37,0,108.52972490423956,108.52972490423956,,,,,,,,,6.262679580092655,6.262679580092647
403.92295187123915,0,0,,,,,,,0,110,0,0,0,110,110,,,,,,,,,5.780112193250505,5.780112193250505
403.92295187123915,25,,785.6616201625206,10568.118018891055,0,10568.118018891053,421.45920574413304,425.2186540488346,,,,,,,,365.40614672795954,38.93243250152295,38.93243250152295,38.93243250152295,4,,,,,
403.92295187123915,50,0,,,,,,,0,109.99710183612153,0,1.6012551942624502e-52,0,109.99710183612153,109.99710183612153,,,,,,,,,5.767751309467689,5.767751309467681
403.92295187123915,75,,769.4350086327498,10423.593820505566,0,10423.593820505566,421.22629128524227,425.2186540488346,,,,,,,,364.67059288824134,37.842875273490336,37.842875273490336,37.842875273490336,4,,,,,
403.92295187123915,100,0,,,,,,,0,109.99409271582971,0,2.8990376792878736e-51,0,109.99409271582971,109.99409271582971,,,,,,,,,5.7427769983659065,5.7427769983658985
403.92295187123915,125,,752.0473441383552,10268.421418820022,0,10268.421418820022,420.96921670939486,425.2186540488346,,,,,,,,363.9395163189623,36.73803607009495,36.73803607009495,36.73803607009495,4,,,,,
403.92295187123915,150,0,,,,,,,0,109.99094146012666,0,2.654205886048248e-50,0,109.99094146012666,109.99094146012666,,,,,,,,,5.717479512255395,5.717479512255387
403.92295187123915,175,,733.3505680624758,10100.971274233967,0,10100.971274233967,420.68331001219724,425.2186540488346,,,,,,,,363.211611693558,35.6151000409767,35.6151000409767,35.6151000409767,4,,,,,
403.92295187123915,200,0,,,,,,,0,109.9876097309928,0,1.6381645192659675e-49,0,109.9876097309928,109.9876097309928,,,,,,,,,5.691809090260663,5.691809090260655
403.92295187123915,225,,713.1579238298863,9919.043181713305,0,9919.043181713305,420.36220595432457,425.2186540488346,,,,,,,,362.4869215202396,34.47057839231428,34.47057839231428,34.47057839231428,4,,,,,
403.92295187123915,250,0,,,,,,,0,109.98405114974997,0,7.666441897382921e-49,0,109.98405114974997,109.98405114974997,,,,,,,,,5.665696660299455,5.665696660299448
403.92295187123915,275,,691.2269172589189,9719.783950803421,0,9719.783950803421,419.9973157250456,425.2186540488346,,,,,,,,361.76549582489,33.300026390668734,33.300026390668734,33.300026390668734,4,,,,,
403.92295187123915,300,0,,,,,,,0,109.98021017316039,0,2.901300319579159e-48,0,109.98021017316039,109.98021017316039,,,,,,,,,5.63904943260357,5.639049432603563
403.92295187123915,325,,667.2318056312341,9499.377665073958,0,9499.377665073958,419.5766568625747,425.2186540488346,,,,,,,,361.04739416050467,32.09763336254417,32.09763336254417,32.09763336254417,4,,,,,
403.92295187123915,350,0,,,,,,,0,109.97602043282906,0,9.247080038889498e-48,0,109.97602043282906,109.97602043282906,,,,,,,,,5.611276753547395,5.611276753547388
403.92295187123915,375,,561.143167006211,8249.553550735665,0,8249.553550735665,416.7876507870676,425.2186540488346,,,,,,,,360.33262930051234,30.816898377883433,30.816898377883433,30.816898377883433,4,,,,,
403.92295187123915,400,0,,,,,,,0,109.9706162961099,0,2.553003071152473e-47,0,109.9706162961099,109.9706162961099,,,,,,,,,5.577842077772576,5.577842077772569
403.92295187123915,425,,553.0782483000004,8275.79713001376,0,8275.79713001376,416.8544362675843,425.2186540488346,,,,,,,,359.6209755078625,29.116360527170855,29.116360527170855,29.116360527170855,4,,,,,
403.92295187123915,450,0,,,,,,,0,109.96486101996649,0,6.243065723798628e-47,0,109.96486101996649,109.96486101996649,,,,,,,,,5.541290883173922,5.5412908831739145
403.92295187123915,475,,544.8974329579353,8301.232727126106,0,8301.232727126106,416.9187828374312,425.2186540488346,,,,,,,,358.9148792571639,27.52699072855711,27.52699072855711,27.52699072855711,4,,,,,
403.92295187123915,500,0,,,,,,,0,109.95876419920727,0,1.3710387360508415e-46,0,109.95876419920727,109.95876419920727,,,,,,,,,5.507808412091805,5.507808412091798
403.92295187123915,525,,536.5609277355203,8325.7791470716,0,8325.7791470716,416.9805258645087,425.2186540488346,,,,,,,,358.21321982378316,26.041949033273625,26.041949033273625,26.041949033273625,4,,,,,
403.92295187123915,550,0,,,,,,,0,109.95234279910055,0,2.734830251571298e-46,0,109.95234279910055,109.95234279910055,,,,,,,,,5.477108702129871,5.477108702129864
403.92295187123915,575,,528.0298535491098,8349.378178374429,0,8349.378178374429,417.03956067650427,425.2186540488346,,,,,,,,357.51563006784824,24.654648767343872,24.654648767343872,24.654648767343872,4,,,,,
403.92295187123915,600,0,,,,,,,0,109.94561976676033,0,5.00196275320835e-46,0,109.94561976676033,109.94561976676033,,,,,,,,,5.448934037110784,5.448934037110777
403.92295187123915,625,,519.2705737689299,8371.991185684094,0,8371.991185684094,417.09583218178,425.2186540488346,,,,,,,,356.82177725269594,23.358784241879448,23.358784241879448,23.358784241879448,4,,,,,
403.92295187123915,650,0,,,,,,,0,109.93862074793842,0,8.455553730687469e-46,0,109.93862074793842,109.93862074793842,,,,,,,,,5.4230530972450355,5.423053097245028
403.92295187123915,675,,510.2586504896861,8393.59569463679,0,8393.59569463679,417.14932493934305,425.2186540488346,,,,,,,,356.13135942803433,22.148363816423682,22.148363816423682,22.148363816423682,4,,,,,
403.92295187123915,700,0,,,,,,,0,109.93136923592044,0,1.3301255555615215e-45,0,109.93136923592044,109.93136923592044,,,,,,,,,5.399258286856339,5.399258286856332
403.92295187123915,725,,500.9818997881602,8414.18202624021,0,8414.18202624021,417.20005377750215,425.2186540488346,,,,,,,,355.44410228235444,21.017733992192632,21.017733992192632,21.017733992192632,4,,,,,
403.92295187123915,750,0,,,,,,,0,109.9238808030923,0,1.9585933896784417e-45,0,109.9238808030923,109.9238808030923,,,,,,,,,5.377363236732901,5.377363236732894
403.92295187123915,775,,491.4422085844326,8433.75016815306,0,8433.75016815306,417.24805536842723,425.2186540488346,,,,,,,,354.75975636982906,19.961594908770905,19.961594908770905,19.961594908770905,4,,,,,
403.92295187123915,800,0,,,,,,,0,109.91615726508135,0,2.7134310334437864e-45,0,109.91615726508135,109.91615726508135,,,,,,,,,5.35720049146044,5.357200491460433
403.92295187123915,825,,481.65596475606486,8452.307020037018,0,8452.307020037018,417.2933810269991,425.2186540488346,,,,,,,,354.07809467650424,18.975007463702752,18.975007463702752,18.975007463702752,4,,,,,
403.92295187123915,850,0,,,,,,,0,109.90818157236171,0,3.55275712650579e-45,0,109.90818157236171,109.90818157236171,,,,,,,,,5.338619388511598,5.3386193885115905
403.92295187123915,875,,471.6532140814507,8469.864097151596,0,8469.864097151596,417.3360908676119,425.2186540488346,,,,,,,,353.3989104921231,18.053392430118606,18.053392430118606,18.053392430118606,4,,,,,
403.92295187123915,900,0,,,,,,,0,109.8999140514625,0,4.413739777512053e-45,0,109.8999140514625,109.8999140514625,,,,,,,,,5.321467472739886,5.3214674727398785
403.92295187123915,925,,461.45542991729536,8486.46922055157,0,8486.46922055157,417.3763303499521,425.2186540488346,,,,,,,,352.72201341316844,17.190906835018325,17.190906835018325,17.190906835018325,4,,,,,
403.92295187123915,950,0,,,,,,,0,109.89129052727665,0,5.221243118222902e-45,0,109.89129052727665,109.89129052727665,,,,,,,,,5.75593217500572,5.755932175005712
403.92295187123915,975,,206.35333451683852,8650.83828351419,0,8650.83828351419,417.76671838669927,425.2186540488346,,,,,,,,80.45081442068408,7.319639489141423,7.319639489141423,7.319639489141423,4,,,,,
403.92295187123915,1000,0,,,,,,,0,109.88276148421019,0,5.818243217171724e-45,0,109.88276148421019,109.88276148421019,,,,,,,,,6.278908801905811,6.278908801905803
