time,Temperature - average,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Pressure
[s],[C],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[Pa]
0,0,0,40,0,0,0,40,40,91.68868348136742
12.082658790766093,0,0,40,0,0,0,40,40,91.36005239098175
24.223719270090218,0,0,40,0,0,0,40,40,91.48757372187565
36.40505855417432,0,0,40,0,0,0,40,40,91.5246951117233
48.56868515945861,0,0,40,0,0,0,40,40,91.53235595355358
60.72749957268072,0,0,40,0,0,0,40,40,91.53402073257867
72.88517541627917,0,0,40,0,0,0,40,40,91.53408525545952
85.04261072767758,0,0,40,0,0,0,40,40,91.53413139020134
97.20000968077473,0,0,40,0,0,0,40,40,91.53421608541782
109.35735257386492,0,0,40,0,0,0,40,40,91.53424848062319
121.51468838915775,0,0,40,0,0,0,40,40,91.53425525753575
133.67202442809335,0,0,40,0,0,0,40,40,91.53421646299155
145.82940526831166,0,0,40,0,0,0,40,40,91.53422223560719
157.98675233319688,0,0,40,0,0,0,40,40,91.53418037233452
170.14414636460535,0,0,40,0,0,0,40,40,91.53415086339825
182.3015473203935,0,0,40,0,0,0,40,40,91.53412501951176
194.45895630526874,0,0,40,0,0,0,40,40,91.5341012458319
206.6163735731521,0,0,40,0,0,0,40,40,91.53407875986692
218.77379915691762,0,0,40,0,0,0,40,40,91.53405719693986
230.9312329561229,0,0,40,0,0,0,40,40,91.53403640158771
243.08867478090582,0,0,40,0,0,0,40,40,91.53401631712903
255.24612438284282,0,0,40,0,0,0,40,40,91.53399692925082
267.40358147669286,0,0,40,0,0,0,40,40,91.5339782383317
279.5610457555383,0,0,40,0,0,0,40,40,91.53396024674291
291.71851690119746,0,0,40,0,0,0,40,40,91.5339429537285
303.87599459128796,0,0,40,0,0,0,40,40,91.53392635395036
316.0334785039358,0,0,40,0,0,0,40,40,91.53391043766698
328.1909683208441,0,0,40,0,0,0,40,40,91.5338951915285
340.34846372922885,0,0,40,0,0,0,40,40,91.53388059950423
352.5059644229815,0,0,40,0,0,0,40,40,91.53386664373274
364.66347010331225,0,0,40,0,0,0,40,40,91.53385330522306
376.82098047905373,0,0,40,0,0,0,40,40,91.53384056439644
388.97849526675134,0,0,40,0,0,0,40,40,91.53382840148669
401.13601419062803,0,0,40,0,0,0,40,40,91.533816796824
413.29353698248593,0,0,40,0,0,0,40,40,91.53380573102902
425.45106338158587,0,0,40,0,0,0,40,40,91.53379518513506
437.60859313453363,0,0,40,0,0,0,40,40,91.53378514066483
449.7661259951914,0,0,40,0,0,0,40,40,91.53377557966702
461.92366172462346,0,0,40,0,0,0,40,40,91.5337664847278
474.08120009108194,0,0,40,0,0,0,40,40,91.53375783896558
486.23874087003287,0,0,40,0,0,0,40,40,91.53374962601318
498.39628384422014,0,0,40,0,0,0,40,40,91.53374182999374
510.5538288037632,0,0,40,0,0,0,40,40,91.53373443549202
522.711375546282,0,0,40,0,0,0,40,40,91.53372742752487
534.8689238770419,0,0,40,0,0,0,40,40,91.5337207915113
547.026473609111,0,0,40,0,0,0,40,40,91.53371451324476
559.1840245635233,0,0,40,0,0,0,40,40,91.5337085788672
571.3415765694369,0,0,40,0,0,0,40,40,91.53370297484649
583.4991294642842,0,0,40,0,0,0,40,40,91.53369768795662
595.6566830939036,0,0,40,0,0,0,40,40,91.5336927052618
607.8142373126492,0,0,40,0,0,0,40,40,91.53368801410343
619.9717919834727,0,0,40,0,0,0,40,40,91.53368588345629
632.1293648894288,0,0,40,0,0,0,40,40,91.5336847141121
644.2869355754632,0,0,40,0,0,0,40,40,91.53368332578879
656.4445047181019,0,0,40,0,0,0,40,40,91.53368169728225
668.6020725813147,0,0,40,0,0,0,40,40,91.53367984795052
680.7596393235617,0,0,40,0,0,0,40,40,91.53367781745892
692.9172050431038,0,0,40,0,0,0,40,40,91.53367565224832
705.0747697992429,0,0,40,0,0,0,40,40,91.5336733979318
717.2323336261568,0,0,40,0,0,0,40,40,91.53367109557871
729.3898965421051,0,0,40,0,0,0,40,40,91.53366878023714
741.5474585555882,0,0,40,0,0,0,40,40,91.5336664806866
753.7050196694818,0,0,40,0,0,0,40,40,91.53366421982295
765.8625798838173,0,0,40,0,0,0,40,40,91.53366201532745
778.0201391976465,0,0,40,0,0,0,40,40,91.53365988042484
790.1776976102841,0,0,40,0,0,0,40,40,91.53365782462664
802.3352551221207,0,0,40,0,0,0,40,40,91.53365585440781
814.492811735138,0,0,40,0,0,0,40,40,91.53365397379814
826.6503674532157,0,0,40,0,0,0,40,40,91.53365218488408
838.8079222822893,0,0,40,0,0,0,40,40,91.53365048822673
850.9654762304046,0,0,40,0,0,0,40,40,91.53364484413933
863.1230388540915,0,0,40,0,0,0,40,40,91.53364035540264
875.2806007309554,0,0,40,0,0,0,40,40,91.53363682988125
887.4381614853578,0,0,40,0,0,0,40,40,91.5336340529506
899.595721077181,0,0,40,0,0,0,40,40,91.53363186944401
911.753279488405,0,0,40,0,0,0,40,40,91.53363015734612
923.9108367149216,0,0,40,0,0,0,40,40,91.53362882020271
936.0683927638106,0,0,40,0,0,0,40,40,91.53362778157823
948.2259476511024,0,0,40,0,0,0,40,40,91.53362698077296
960.3835013998935,0,0,40,0,0,0,40,40,91.53362636949173
972.5410540387728,0,0,40,0,0,0,40,40,91.53362590924183
984.6986056005159,0,0,40,0,0,0,40,40,91.53362556929463
996.8561561210068,0,0,40,0,0,0,40,40,91.53362532508403
