time,Acc. volume - continuous gas,Acc. volume - continuous oil,Acc. volume - bubbles,Acc. volume - droplets,Acc. volume - total gas,Acc. volume - total liquid,Acc. volume - total,Temperature - average,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,MF - continuous gas,MF - continuous oil,MF - bubbles,MF - droplets,MF - total gas,MF - total oil,Pressure,Std. VFR - total gas,Std. VFR - total oil,Temperature - gas,Temperature - oil,VF - continuous gas,VF - continuous oil,VF - bubbles,VF - droplets,VF - total gas,VF - total oil
[s],[?],[?],[?],[?],[?],[?],[?],[C],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[?],[?],[-],[-],[?],[?],[Pa],[?],[?],[C],[C],[?],[?],[-],[-],[-],[-]
0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,80,0,0,5,5,0,1,0,0,0,1
100.0393696551996,0,11.144983097628431,0,4.815313645648554e-36,0,11.144983097628431,11.144983097628431,9.66033340684055,0,106.24651520162126,0,1.1942179924274305e-34,0,106.24651520162126,106.24651520162126,0,1,0,1.1240067405139771e-36,0,1,80,4913136.893947892,0,9.66033340684055,9.66033340684055,0,1,0,1.124006740513977e-36,0,1
203.40585117332816,0,24.129861077416287,0,8.964518963186584e-36,0,24.129861077416287,24.129861077416287,8.365846653880112,0,108.52972490423956,0,8.175474953856144e-37,0,108.52972490423956,108.52972490423956,0,1,0,7.532936217307946e-39,0,1,80,5018718.9152054,0,8.365846653880112,8.365846653880112,0,1,0,7.532936217307946e-39,0,1
300.14383410271785,0,36.324554739127606,0,8.973829253313486e-36,0,36.324554739127606,36.324554739127606,7.564579654909039,0,109.553493523403,0,2.1330433463067805e-40,0,109.553493523403,109.553493523403,0,1,0,1.9470336159121352e-42,0,1,80,5066060.847918514,0,7.564579654909039,7.564579654909039,0,1,0,1.9470336159121352e-42,0,1
403.92295187123915,0,49.42269877141787,0,8.973831049567204e-36,0,49.42269877141787,49.42269877141787,7.319639489141423,0,109.88276148421019,0,5.818243217171724e-45,0,109.88276148421019,109.88276148421019,0,1,0,5.29495540390818e-47,0,1,80,5081287.122052465,0,7.319639489141423,7.319639489141423,0,1,0,5.294955403908181e-47,0,1
500.81504249093945,0,61.656244741167676,0,8.973831049609042e-36,0,61.656244741167676,61.656244741167676,7.259169030824921,0,109.96393071744599,0,1.2993851846392765e-49,0,109.96393071744599,109.96393071744599,0,1,0,1.181646723758963e-51,0,1,80,5085040.615084283,0,7.259169030824921,7.259169030824921,0,1,0,1.181646723758963e-51,0,1
549.2650458236342,0,67.77406173939225,0,8.973831049609043e-36,0,67.77406173939225,67.77406173939225,7.2469500781347165,0,109.98044626189423,0,4.896362217449982e-52,0,109.98044626189423,109.98044626189423,0,1,0,4.4520297779028587e-54,0,1,80,5085804.340187156,0,7.2469500781347165,7.2469500781347165,0,1,0,4.4520297779028587e-54,0,1
