time,Pressure drop - total,Pressure drop - gravity,Pressure drop - friction,Total mass - gas,Total mass - oil,Total mass - total,Total volume - gas,Total volume - oil,Total volume - total
[s],[Pa],[Pa],[Pa],[kg],[kg],[kg],[m³],[m³],[m³]
0,0,0,0,0,17854.051676275656,17854.051676275656,0,20.10619298297468,20.10619298297468
108.40974739225719,5.519688910933761,0,5.519688910933761,103.00446998278164,17265.08388805235,17368.088358035133,0.21918825840689643,19.887004724567777,20.106192982974672
215.05479694997214,5.47657387228786,0,5.47657387228786,200.7821286792153,16700.438648928743,16901.22077760796,0.4386759219515719,19.6675170610231,20.106192982974672
316.71812821445434,4.695993762081283,0,4.695993762081283,294.3557703687158,16238.001730454993,16532.35750082371,0.649323497143972,19.456869485830705,20.106192982974676
413.64411550755665,4.120717847259287,0,4.120717847259287,350.2702979490646,15955.667212107535,16305.9375100566,0.78223397918088,19.323959003793796,20.106192982974676
518.2822431067425,3.946721118346732,0,3.946721118346732,611.5424731329209,15466.742032559807,16078.284505692727,1.3888931373538171,18.71729984562086,20.10619298297468
611.4885381789737,3.414512112432639,0,3.414512112432639,720.9513417279142,15236.529784839138,15957.481126567052,1.6431228572407877,18.463070125733893,20.10619298297468
704.2188921325995,3.0345518309266724,0,3.0345518309266724,727.8068362027641,15169.326510332507,15897.13334653527,1.6763314102902889,18.429861572684388,20.106192982974676
826.5821639558374,2.916078080406655,0,2.916078080406655,722.5999688077983,15134.691821742315,15857.291790550114,1.6792814262626123,18.426911556712064,20.106192982974676
918.019056957259,2.725049964664229,0,2.725049964664229,718.464058109864,15141.31115020108,15859.775208310944,1.6869232521756343,18.419269730799044,20.10619298297468
1008.829333677764,2.8292726953039877,0,2.8292726953039877,717.4162277525712,15129.450570542453,15846.866798295025,1.6813315257061436,18.424861457268534,20.106192982974676
1039.31632661002,2.855327141801263,0,2.855327141801263,718.4189469709902,15118.122753037085,15836.541700008076,1.681993432886613,18.424199550088066,20.10619298297468
