time,MFR - total gas,MFR - total oil,MFR - total liquid,MFR - total,Opening fraction,Pressure (inlet),Pressure (outlet),Pressure drop
[s],[kg/s],[?],[kg/s],[kg/s],[-],[Pa],[Pa],[Pa]
0,0,45.99999999999999,45.99999999999999,45.99999999999999,0.22,134.47074341132915,80.04453477780268,54.42620863352649
10.585359472293456,0,45.59467205260913,45.59467205260913,45.59467205260913,0.22,130.55697818078835,80.00187467665134,50.47874190550832
21.02080464526342,0,45.947308867223654,45.947308867223654,45.947308867223654,0.22,131.3425364600217,80.00246310855188,51.256611201553206
31.932139697632934,0,46.032346897967486,46.032346897967486,46.032346897967486,0.22,131.53455004906596,80.00224466095759,51.448226629245916
42.82282724680185,0,46.06778680505477,46.06778680505477,46.06778680505477,0.22,131.61579311344192,80.00220793408766,51.52935621743878
53.704588258830256,0,46.07617106984488,46.07617106984488,46.07617106984488,0.22,131.63673932963368,80.00218607919133,51.550199575873435
64.5838476711427,0,46.07422212115854,46.07422212115854,46.07422212115854,0.22,131.6334717511186,80.00217752945369,51.54787715824618
75.46304191152203,0,46.06903392082145,46.06903392082145,46.06903392082145,0.22,131.62471211756238,80.00217246792414,51.538127686119246
86.34312837217242,0,46.06350241357168,46.06350241357168,46.06350241357168,0.22,131.6140188646462,80.00217151864302,51.52746062213348
97.22416655324828,0,46.058315588050235,46.058315588050235,46.058315588050235,0.22,131.60396137432014,80.00217095385322,51.517420794501476
108.106110071519,0,46.053754550312256,46.053754550312256,46.053754550312256,0.22,131.5951867414039,80.00217070114665,51.508657383697006
118.98883766517889,0,46.049827145660466,46.049827145660466,46.049827145660466,0.22,131.58772590052243,80.00217059424112,51.50120753722983
129.87222025804806,0,46.04645474320467,46.04645474320467,46.04645474320467,0.22,131.58141863601313,80.00217053155009,51.49491204070703
140.75614330726597,0,46.043504735121864,46.043504735121864,46.043504735121864,0.22,131.575558970108,80.0021680496819,51.48949460921634
151.64049388378942,0,46.040776654983475,46.040776654983475,46.040776654983475,0.22,131.57048295607777,80.00216658185131,51.48450806331435
162.52523908798105,0,46.03843982558975,46.03843982558975,46.03843982558975,0.22,131.5661743682724,80.0021665877627,51.4803381399105
173.41031207763703,0,46.036360384019936,46.036360384019936,46.036360384019936,0.22,131.56243674111658,80.0021669099063,51.47669393739849
184.29566324706923,0,46.034490076825094,46.034490076825094,46.034490076825094,0.22,131.55915342843602,80.00216725965558,51.47347330690633
195.1812527605696,0,46.032785673883716,46.032785673883716,46.032785673883716,0.22,131.5562273166044,80.00216755134873,51.47058402332436
206.06705011981074,0,46.03121972175629,46.03121972175629,46.03121972175629,0.22,131.55359144504868,80.00216778429872,51.46796848118878
216.95303024870276,0,46.02976985347189,46.02976985347189,46.02976985347189,0.22,131.5511946755786,80.00216796469398,51.46557965672138
227.8391727939918,0,46.028417980991925,46.028417980991925,46.028417980991925,0.22,131.5489962553416,80.00216810445525,51.46337984954492
238.72546106303722,0,46.027148117141635,46.027148117141635,46.027148117141635,0.22,131.5469611466521,80.00216820797903,51.461335214411335
249.61188174517602,0,46.02595135383946,46.02595135383946,46.02595135383946,0.22,131.54506741501444,80.00216828884474,51.45942785150245
260.4984230782364,0,46.02481809066653,46.02481809066653,46.02481809066653,0.22,131.54329496164593,80.00216835109529,51.457637983547215
271.3850752727909,0,46.02374204957816,46.02374204957816,46.02374204957816,0.22,131.54162931563624,80.00216839838389,51.45595305858958
282.27182971635085,0,46.0227171263194,46.0227171263194,46.0227171263194,0.22,131.5400588780401,80.00216843602068,51.454361012850406
293.1586788852793,0,46.02173812764093,46.02173812764093,46.02173812764093,0.22,131.53857155601273,80.00216846389988,51.45285113458009
304.04561628094353,0,46.020800984059036,46.020800984059036,46.020800984059036,0.22,131.53715973579023,80.00216848510011,51.45141573845396
314.9326360563018,0,46.01990350650911,46.01990350650911,46.01990350650911,0.22,131.53581825069762,80.00216850312691,51.450050991933665
325.81973264413085,0,46.01871285725491,46.01871285725491,46.01871285725491,0.22,131.53318225302246,80.00216671049115,51.44802377077199
336.70688898450186,0,46.01769789578999,46.01769789578999,46.01769789578999,0.22,131.53130226557045,80.0021664072409,51.446358621787454
347.59415235530355,0,46.01583332672372,46.01583332672372,46.01583332672372,0.22,131.52922819941378,80.00216467760384,51.442762833678444
358.4816484975938,0,46.01594496892609,46.01594496892609,46.01594496892609,0.22,131.52829705415593,80.00216663042175,51.443570690650006
369.3690841769086,0,46.01518961610685,46.01518961610685,46.01518961610685,0.22,131.52723558317197,80.0021669812936,51.44243283885723
380.25658781870567,0,46.01448401875847,46.01448401875847,46.01448401875847,0.22,131.5262495952833,80.0021671963758,51.44139259957855
391.14414873715697,0,46.013816144086626,46.013816144086626,46.013816144086626,0.22,131.52533472120433,80.00216734300298,51.44042388016767
402.03176055948205,0,46.01318141027346,46.01318141027346,46.01318141027346,0.22,131.5244827938293,80.00216745417862,51.43951727343612
412.91941785365145,0,46.012575336402485,46.012575336402485,46.012575336402485,0.22,131.52368535042916,80.00216754403533,51.4386637329606
423.80711605687713,0,46.01199678121758,46.01199678121758,46.01199678121758,0.22,131.52293722133487,80.00216762032912,51.43786081107439
434.69485081502296,0,46.01144226593008,46.01144226593008,46.01144226593008,0.22,131.52223305658174,80.00216768777763,51.437101490181064
445.5826184389008,0,46.01091069440162,46.01091069440162,46.01091069440162,0.22,131.52156923869555,80.00216774902461,51.436383689939156
456.4704154766745,0,46.0104006230321,46.0104006230321,46.0104006230321,0.22,131.52094265327995,80.00216780577762,51.43570447758047
