time,Temperature - average,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Pressure
[s],[C],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[Pa]
0,40,0,0,0,0,0,0,0,80
100.0393696551977,40,0,110,0,0,0,110,110,353.96214935719365
203.40585117332517,40,0,110,0,0,0,110,110,361.26663966876833
300.1438341027154,40,0,110,0,0,0,110,110,364.43148598254623
403.9229518712372,40,0,110,0,0,0,110,110,365.40614672796016
500.81504249093757,40,0,110,0,0,0,110,110,365.65443165215646
604.6378586037278,40,0,110,0,0,0,110,110,365.7342431801344
701.5418008002363,40,0,110,0,0,0,110,110,365.7546370061456
805.3682378871772,40,0,110,0,0,0,110,110,365.760984817863
902.2731265710789,40,0,110,0,0,0,110,110,365.76268412307434
1006.0998575072168,40,0,110,0,0,0,110,110,365.76319118971026
1033.7869896484399,40,0,110,0,0,0,110,110,365.7632456249804
