time,position,Pipe elevation profile,Heat transfer - gas-wall,Heat transfer - oil-wall,Heat transfer - gas-oil,Heat transfer - average-wall,Heat transfer - OHTC,Heat transfer - surroundings,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Pressure,Temperature - gas,Temperature - oil,Temperature - average,Temperature - surroundings,CO2 mGas total,CO2 mOil total,CO2 mTotal,Velocity - gas,Velocity - oil
[s],[m],[?],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[Pa],[C],[C],[C],[C],[?],[?],[?],[m/s],[m/s]
202.40932859327432,225,,981.3905872172547,9303.658736706002,0,9303.658736706002,419.1871606907856,425.2186540488346,,,,,,,,94.5104634911824,36.21177998777591,36.21177998777591,36.21177998777591,4,,,,,
202.40932859327432,250,0,,,,,,,0,100.27847913646895,0,-1.662104875817738e-42,0,100.27847913646895,100.27847913646895,,,,,,,,,8.703389011087308,8.703389011087296
202.40932859327432,275,,974.3856429952634,9285.921233815914,0,9285.921233815914,419.15108685859997,425.2186540488346,,,,,,,,93.49651736602965,35.42761462868856,35.42761462868856,35.42761462868856,4,,,,,
202.40932859327432,300,0,,,,,,,0,100.35664063178692,0,-4.917844058940133e-42,0,100.35664063178692,100.35664063178692,,,,,,,,,8.58708793887129,8.58708793887128
202.40932859327432,325,,965.7456778293475,9261.608153585785,0,9261.608153585785,419.1014255316482,425.2186540488346,,,,,,,,92.49534016994774,34.650078203896044,34.650078203896044,34.650078203896044,4,,,,,
202.40932859327432,350,0,,,,,,,0,100.44417710838376,0,-1.2202710841403692e-41,0,100.44417710838376,100.44417710838376,,,,,,,,,8.47419824656249,8.47419824656248
202.40932859327432,375,,955.5735117813842,9230.998336289424,0,9230.998336289424,419.0385475234715,425.2186540488346,,,,,,,,91.50645992625117,33.877219099149045,33.877219099149045,33.877219099149045,4,,,,,
202.40932859327432,400,0,,,,,,,0,100.54188312444283,0,-2.6113728985445463e-41,0,100.54188312444283,100.54188312444283,,,,,,,,,8.3646739848287,8.36467398482869
202.40932859327432,425,,943.9802652470986,9194.358071712242,0,9194.358071712242,418.9627564760345,425.2186540488346,,,,,,,,90.52940392038964,33.107124443807095,33.107124443807095,33.107124443807095,4,,,,,
202.40932859327432,450,0,,,,,,,0,100.65057365693171,0,-4.919320888611354e-41,0,100.65057365693171,100.65057365693171,,,,,,,,,8.25845139872294,8.25845139872293
202.40932859327432,475,,931.0628513607725,9151.8956157149,0,9151.8956157149,418.8741976877077,425.2186540488346,,,,,,,,89.563700044773,32.33787488732236,32.33787488732236,32.33787488732236,4,,,,,
202.40932859327432,500,0,,,,,,,0,100.7711783216035,0,-8.286057473399476e-41,0,100.7711783216035,100.7711783216035,,,,,,,,,8.155448467651057,8.155448467651047
