time,Temperature - average,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Pressure
[s],[C],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[Pa]
0,50,0,0,0,0,0,0,0,80
105.72814577545113,50,0,110,0,0,0,110,110,372.17842347486726
206.05063449106174,50,0,110,0,0,0,110,110,375.5252933076366
306.16441659548155,50,0,110,0,0,0,110,110,374.5184197132082
406.41904835069636,50,0,110,0,0,0,110,110,374.77697472958465
506.6621187277473,50,0,110,0,0,0,110,110,374.79134514807964
600.2218246804807,50,0,110,0,0,0,110,110,374.79449903476626
700.4647815919237,50,0,110,0,0,0,110,110,374.7966354467485
800.7077120261577,50,0,110,0,0,0,110,110,374.7971064688338
900.9506380027966,50,0,110,0,0,0,110,110,374.79721175950027
1001.1935688692272,50,0,110,0,0,0,110,110,374.79723974027934
