time,Hydrodynamics iterations,MVP total iterations,MVP last iterations,Energy iterations,Custom fluid iterations,Compositional iterations,Mass residual,Momentum residual,Energy residual,Restarts,Time - properties,Time - point model,Time - momentum,Time - MVP total,Time - composition,Time - single component,Time - energy total,Time - energy wall,Time - output,Time - total,Time - momentum matrix,Time - MVP matrix,Time - composition matrix,Time - single component matrix,Time - energy matrix,Time step,Max time step,Min time step,Average time step,CFL max time step
[s],[-],[-],[-],[-],[-],[-],[kg/s],[N],[K],[-],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000000000000000000,0,0
108.40974739225719,2,7,2,3,0,1,2.5982050965783926e-08,34.98940158980761,0.0006096786932060657,0,1.2946497027296573,0.002322599815670401,0.07875149871688336,0.25230319931870326,0.0003277998184785247,0,0.202223198779393,0.002432300010696053,0.010339936199962879,3.1043872999725863,0.005475500307511538,0.19804800197016448,0,0,0.022540201782248914,10.219067944750662,10.219067944750662,0.4,3.0974213540644913,10.494088971503842
202.5638936954208,20,42,2,1,0,1,1.3852134654230676e-11,0.27968349184905944,4.088862674451312e-05,0,1.423427603149321,0.0028798998100683093,0.09493169840425253,0.3024005996994674,0.00041059975046664476,0,0.22948529809946194,0.0028707000310532744,0.023304560906687827,3.333178400003817,0.006658000289462507,0.23851510166423395,0,0,0.025264401803724468,10.431731688170624,10.491162508508927,0.4,4.603724856714109,10.431731688170624
306.5206506568546,20,41,2,1,0,1,8.833765688730683e-12,0.22822094624286451,3.4157728770767784e-05,0,1.5592451029806398,0.004678899771533906,0.1138384987716563,0.36005659913644195,0.0004886997048743069,0,0.25965889816870913,0.003263500169850885,0.0318074386486137,3.5951729000080377,0.008042299887165427,0.2845712015987374,0,0,0.0283248022897169,10.370646105102422,10.491162508508927,0.4,5.676308345497308,10.370646105102422
410.04517789043814,20,40,2,1,0,1,3.1128974565901778e-12,0.13769964608814064,2.091136855882297e-05,0,1.6418371033505537,0.005313299770932644,0.13206939841620624,0.4164083992363885,0.0005682994378730655,0,0.28359549801098183,0.003745000110939144,0.04117238878063856,3.7816783000016585,0.009448899887502193,0.3297871013637632,0,0,0.030732602055650204,10.341688476479701,10.491162508508927,0.4,6.406955904538096,10.341688476479701
503.0618489066476,20,40,2,1,0,1,8.32247881058502e-13,0.07108368106070165,1.0848823291306347e-05,0,1.6877323028165847,0.005923799821175634,0.14830979943508282,0.4660991990240291,0.000634999480098486,0,0.30183859827229753,0.0040781002026051266,0.048987570062460004,3.9161123000085354,0.010769699816592038,0.3689434014377184,0,0,0.032551801938097924,10.331212092109553,10.491162508508927,0.4,6.891258204200652,10.331212092109553
606.3414360604498,20,40,2,1,0,1,8.917523644828277e-14,0.02306149569193495,3.52683214214071e-06,0,1.7149303021724336,0.00662089983234182,0.1654251000727527,0.5302610986400397,0.0007109993021003903,0,0.3204628987587057,0.0045250002876855416,0.057471731232860854,4.048317699984182,0.01219969999510795,0.4121123016229831,0,0,0.034388701897114515,10.325928001422193,10.491162508508927,0.4,7.305318506752408,10.325928001422193
709.5862800113653,17,35,1,1,0,1,3.58287745758575e-07,0.008198656330175323,1.2578873512400964e-06,0,1.7297440024558455,0.007301999896299095,0.18194769992260268,0.5794994984171356,0.0007967993151396515,0,0.33700429915916175,0.004866100265644489,0.06606883477900613,4.150271599995904,0.013601599843241278,0.45132770243799325,0,0,0.0360696017742157,10.323590524918538,10.491162508508927,0.4,7.629960000122207,10.323590524918538
802.4932881103346,4,10,2,1,0,1,1.0005087646591983e-12,0.09998400790715722,3.148623744388834e-05,0,1.7360800030874088,0.007891699788160624,0.19050869980128488,0.6067866982775743,0.0008560992428101602,0,0.34569969889707863,0.005225800327025353,0.07313697222590751,4.204825400025584,0.014213899907190356,0.4733268024865539,0,0,0.03692300146212801,10.322617726104209,10.491162508508927,0.4,7.867581255983672,10.322617726104209
905.7166594943371,4,10,2,1,0,1,2.273725652174969e-13,0.05061194811509252,1.4761921468750519e-05,0,1.739374402910471,0.008505399862769991,0.1950122000998818,0.6199594982317651,0.0009124990901909771,0,0.350069499167148,0.005578800395596771,0.0797164241679896,4.233575800026301,0.014515100046992305,0.4838579021161423,0,0,0.03734970139339566,10.322160868259665,10.491162508508927,0.4,8.086755888342296,10.322160868259665
1008.937024599215,3,8,2,1,0,1,1.146222382236645e-13,0.009403365396923064,1.1441269301773667e-05,0,1.7410006028949283,0.00902849982958287,0.1994646999519319,0.6329474985250274,0.000973099085967988,0,0.3542041990440339,0.005908000341150908,0.08704299302458497,4.259996799984947,0.014788200147449974,0.49429400183726113,0,0,0.03776690171798691,10.321958282130788,10.491162508508927,0.4,8.269975611468976,10.321958282130788
1101.8341997903067,3,8,2,1,0,1,3.0437448104129166e-14,0.005592010955646841,5.642209536117775e-06,0,1.7425635025138035,0.00956309982575476,0.20290690037654718,0.6427728981943803,0.0010198992094956338,0,0.3577095993096009,0.006277300301007924,0.09232161497659455,4.2812707999837585,0.014990300289355222,0.5022041019983591,0,0,0.038060801627580076,10.321877507914207,10.491162508508927,0.4,8.410948090002341,10.321877507914207
