time,position,CO2 mass frac. - gas,CO2 mass frac. - oil,Pipe elevation profile,Heat transfer - gas-wall,Heat transfer - oil-wall,Heat transfer - gas-oil,Heat transfer - average-wall,Heat transfer - OHTC,Heat transfer - surroundings,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Physical flow regime ID - gas/liquid,Pressure,Superficial velocity - continuous gas,Superficial velocity - continuous oil,Superficial velocity - bubbles,Superficial velocity - droplets,Superficial velocity - total gas,Superficial velocity - total liquid,Superficial velocity - total,Temperature - gas,Temperature - oil,Temperature - average,Temperature - surroundings,CO2 mGas total,CO2 mOil total,CO2 mTotal,Velocity - gas,Velocity - oil,VF - continuous gas,VF - continuous oil,VF - bubbles,VF - droplets,VF - total gas,VF - total oil,Wall temperature - inner surface
[s],[m],[-],[-],[m],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[?],[Bar],[?],[?],[m/s],[m/s],[m/s],[m/s],[m/s],[C],[C],[C],[C],[?],[?],[?],[m/s],[m/s],[?],[?],[-],[-],[-],[-],[C]
0,0,,,0,,,,,,,0,60.00000000000001,0,0,0,60.00000000000001,60.00000000000001,,,0,2.9721794170980553,0,0,0,2.9721794170980553,2.9721794170980553,,,,,,,,2.9721794170980544,2.9721794170980544,,,,,,,
0,16.666666666666668,1,1,,426.01041605494856,5368.946803983859,0,5368.946803983859,405.7880105684414,425.2186540488346,,,,,,,,4,176.57524043194803,,,,,,,,0.23601738234344793,0.23601738234344793,0.23601738234344793,4,,,,,,0,1,0,0,0,1,0.5205017360228226
0,33.333333333333336,,,0,,,,,,,0,59.99999999999999,0,0,0,59.99999999999999,59.99999999999999,,,0,2.9721794170980544,0,0,0,2.9721794170980544,2.9721794170980544,,,,,,,,2.9740354742930286,2.9740354742930246,,,,,,,
0,50,1,1,,418.4441481316237,5360.758063632231,0,5360.758063632231,405.7411669885486,425.2186540488346,,,,,,,,4,176.43701447954996,,,,,,,,0.45532706895556885,0.45532706895556885,0.45532706895556885,4,,,,,,0,1,0,0,0,1,0.723614105930892
0,66.66666666666667,,,0,,,,,,,0,60,0,0,0,60,60,,,0,2.975893851065963,0,0,0,2.975893851065963,2.975893851065963,,,,,,,,2.977592083292003,2.977592083291999,,,,,,,
0,83.33333333333334,1,1,,410.8366832412726,5357.9859889808085,0,5357.9859889808085,405.7252793890868,425.2186540488346,,,,,,,,4,176.29863028570045,,,,,,,,0.6616337715677219,0.6616337715677219,0.6616337715677219,4,,,,,,0,1,0,0,0,1,0.9144268183842996
0,100,,,0,,,,,,,0,60,0,0,0,60,60,,,0,2.9792922548610123,0,0,0,2.9792922548610123,2.9792922548610123,,,,,,,,2.9809051409599223,2.9809051409599183,,,,,,,
0,116.66666666666667,1,1,,403.1397060969623,5355.388903808284,0,5355.388903808285,405.7103809148991,425.2186540488346,,,,,,,,4,176.16009579643523,,,,,,,,0.8557049188489714,0.8557049188489714,0.8557049188489714,4,,,,,,0,1,0,0,0,1,1.0939089195990732
0,133.33333333333334,,,0,,,,,,,0,60,0,0,0,60,60,,,0,2.982519774326576,0,0,0,2.982519774326576,2.982519774326576,,,,,,,,2.9840517480962716,2.9840517480962676,,,,,,,
0,150,1,1,,395.3666589868514,5352.9549850339035,0,5352.9549850339035,405.6964063351664,425.2186540488346,,,,,,,,4,176.02141854803483,,,,,,,,1.038263518357553,1.038263518357553,1.038263518357553,4,,,,,,0,1,0,0,0,1,1.2627316188111308
0,166.66666666666669,,,0,,,,,,,0,60,0,0,0,60,60,,,0,2.985585296473967,0,0,0,2.985585296473967,2.985585296473967,,,,,,,,2.987040598164024,2.98704059816402,,,,,,,
