time,MFR - total gas,MFR - total oil,MFR - total liquid,MFR - total,Opening fraction,Pressure (inlet),Pressure (outlet),Pressure drop
[s],[kg/s],[?],[kg/s],[kg/s],[-],[Pa],[Pa],[Pa]
0,0,0,0,0,0.22,80,80,0
105.46161306707188,0,83.25014860493104,83.25014860493104,83.25014860493104,0.22,244.77723460700352,80.2486109037989,164.14408927159062
203.6280715308096,0,86.35550764319522,86.35550764319522,86.35550764319522,0.22,256.1529290966302,80.26979184891401,175.47210204461973
306.64390865399156,0,89.21622441726767,89.21622441726767,89.21622441726767,0.22,268.16854304674024,80.29193439646214,187.43954201299377
406.6855256546799,0,92.47336271444463,92.47336271444463,92.47336271444463,0.22,281.4273004569111,80.31656305737617,200.64458497782513
504.0881073111532,0,95.6889902199983,95.6889902199983,95.6889902199983,0.22,294.9173385951454,80.34221307507488,214.07962665512622
606.3126267743415,0,99.08873398425614,99.08873398425614,99.08873398425614,0.22,309.62594950033576,80.37084284119271,228.72783697243582
706.0168054229752,0,102.40982370215607,102.40982370215607,102.40982370215607,0.22,324.47418863396024,80.40049096517741,243.5147132445243
803.4306063493308,0,105.61028868520513,105.61028868520513,105.61028868520513,0.22,339.2596759988694,80.43077366866625,258.2385848529978
905.5415193579857,0,108.87399440466682,108.87399440466682,108.87399440466682,0.22,354.79348318274776,80.46340116371749,273.70717905018864
1005.486553720181,0,112.13507328939787,112.13507328939787,112.13507328939787,0.22,370.57307572275846,80.49717646931569,289.4201206240676
1018.6528134515859,0,112.56865288051065,112.56865288051065,112.56865288051065,0.22,372.69387409856523,80.50177304576266,291.53191827119286
