time,position,Pipe elevation profile,Heat transfer - gas-wall,Heat transfer - oil-wall,Heat transfer - gas-oil,Heat transfer - average-wall,Heat transfer - OHTC,Heat transfer - surroundings,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Pressure,Temperature - gas,Temperature - oil,Temperature - average,CO2 mGas total,CO2 mOil total,CO2 mTotal
[s],[m],[m],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[Pa],[C],[C],[C],[?],[?],[?]
215.05479694997214,350,0,,,,,,,0,29.56257144516479,0,0,0,29.56257144516479,29.56257144516479,,,,,,,
215.05479694997214,375,,147.68013179769935,3004.3974451864715,0,3004.3974451864715,383.0052751835249,425.2186540488346,,,,,,,,101.6672932281267,4.298301780630595,4.298301780630595,4.298301780630595,,,
215.05479694997214,400,0,,,,,,,0,29.452491686566326,0,0,0,29.452491686566326,29.452491686566326,,,,,,,
215.05479694997214,425,,165.56191647058264,2994.29647859785,0,2994.2964785978497,382.84063587420366,425.2186540488346,,,,,,,,101.61223698019151,4.643628624906341,4.643628624906341,4.643628624906341,,,
215.05479694997214,450,0,,,,,,,0,29.35100289637173,0,0,0,29.35100289637173,29.35100289637173,,,,,,,
215.05479694997214,475,,176.73940132158793,2985.6509447181725,0,2985.6509447181725,382.6989478050694,425.2186540488346,,,,,,,,101.55739495120618,4.8967271163186865,4.8967271163186865,4.8967271163186865,,,
215.05479694997214,500,0,,,,,,,0,29.261007631030726,0,0,0,29.261007631030726,29.261007631030726,,,,,,,
215.05479694997214,525,,183.41978329183198,2978.340543265506,0,2978.3405432655063,382.57858126928613,425.2186540488346,,,,,,,,101.50276180870495,5.0707712306675035,5.0707712306675035,5.0707712306675035,,,
215.05479694997214,550,0,,,,,,,0,29.182421510599863,0,0,0,29.182421510599863,29.182421510599863,,,,,,,
215.05479694997214,575,,187.16925029819038,2972.087080929927,0,2972.087080929927,382.4752079178171,425.2186540488346,,,,,,,,101.44832915369068,5.183650305045376,5.183650305045376,5.183650305045376,,,
215.05479694997214,600,0,,,,,,,0,29.113445775969343,0,0,0,29.113445775969343,29.113445775969343,,,,,,,
215.05479694997214,625,,189.1186946622083,2966.5867728939943,0,2966.5867728939943,382.38397083425724,425.2186540488346,,,,,,,,101.39408862451003,5.252970787863546,5.252970787863546,5.252970787863546,,,
215.05479694997214,650,0,,,,,,,0,29.051705574313726,0,0,0,29.051705574313726,29.051705574313726,,,,,,,
215.05479694997214,675,,190.02744136186084,2961.580975150709,0,2961.580975150709,382.3006799678238,425.2186540488346,,,,,,,,101.34003331994093,5.293345098937095,5.293345098937095,5.293345098937095,,,
215.05479694997214,700,0,,,,,,,0,28.99497210206672,0,0,0,28.99497210206672,28.99497210206672,,,,,,,
215.05479694997214,725,,190.36683997021913,2956.8791529666732,0,2956.879152966673,382.2222232711746,425.2186540488346,,,,,,,,101.28615812402997,5.315585373095246,5.315585373095246,5.315585373095246,,,
215.05479694997214,750,0,,,,,,,0,28.941481508801473,0,0,0,28.941481508801473,28.941481508801473,,,,,,,
215.05479694997214,775,,190.40981586978432,2952.354527979751,0,2952.354527979751,382.1465179602403,425.2186540488346,,,,,,,,101.2324594838711,5.327030543969158,5.327030543969158,5.327030543969158,,,
215.05479694997214,800,0,,,,,,,0,28.88998522040081,0,0,0,28.88998522040081,28.88998522040081,,,,,,,
215.05479694997214,825,,190.3051803710452,2947.92910329698,0,2947.92910329698,382.0722767839163,425.2186540488346,,,,,,,,101.17893501074343,5.3323306386872105,5.3323306386872105,5.3323306386872105,,,
215.05479694997214,850,0,,,,,,,0,28.83966933075152,0,0,0,28.83966933075152,28.83966933075152,,,,,,,
215.05479694997214,875,,190.1300642009252,2943.557847236995,0,2943.557847236995,381.9987536331696,425.2186540488346,,,,,,,,101.12558309746038,5.334268707038007,5.334268707038007,5.334268707038007,,,
215.05479694997214,900,0,,,,,,,0,28.79003673397369,0,0,0,28.79003673397369,28.79003673397369,,,,,,,
215.05479694997214,925,,189.92225971389496,2939.2161252591054,0,2939.2161252591054,381.92553888729464,425.2186540488346,,,,,,,,101.07240262135593,5.334423580246778,5.334423580246778,5.334423580246778,,,
215.05479694997214,950,0,,,,,,,0,28.740799628920676,0,0,0,28.740799628920676,28.740799628920676,,,,,,,
215.05479694997214,975,,90.59414227006378,2951.460374353266,0,2951.4603743532657,382.13153321163634,425.2186540488346,,,,,,,,80.02730190913947,4.198524437768981,4.198524437768981,4.198524437768981,,,
215.05479694997214,1000,0,,,,,,,0,28.69823270146534,0,0,0,28.69823270146534,28.69823270146534,,,,,,,
410.3361341140975,0,0,,,,,,,0,30,0,0,0,30,30,,,,,,,
410.3361341140975,25,,234.67633404336365,3076.2265128820754,0,3076.2265128820754,384.14875557306453,425.2186540488346,,,,,,,,103.14148613398899,0.5490619760502113,0.5490619760502113,0.5490619760502113,,,
410.3361341140975,50,0,,,,,,,0,29.99635120230641,0,0,0,29.99635120230641,29.99635120230641,,,,,,,
410.3361341140975,75,,222.81663546559506,3072.7688540063496,0,3072.7688540063496,384.09478316678957,425.2186540488346,,,,,,,,103.08598898219586,1.0229758020687427,1.0229758020687427,1.0229758020687427,,,
410.3361341140975,100,0,,,,,,,0,29.992216483834557,0,0,0,29.992216483834557,29.992216483834557,,,,,,,
410.3361341140975,125,,211.13308056968773,3069.5542306581856,0,3069.5542306581856,384.04450900243404,425.2186540488346,,,,,,,,103.03024559470319,1.4353021760289266,1.4353021760289266,1.4353021760289266,,,
410.3361341140975,150,0,,,,,,,0,29.98734463866697,0,0,0,29.98734463866697,29.98734463866697,,,,,,,
410.3361341140975,175,,199.53379934358068,3066.5967242212664,0,3066.5967242212664,383.9981745067593,425.2186540488346,,,,,,,,102.97436481929145,1.7967887273191536,1.7967887273191536,1.7967887273191536,,,
410.3361341140975,200,0,,,,,,,0,29.98120702440401,0,0,0,29.98120702440401,29.98120702440401,,,,,,,
410.3361341140975,225,,187.7964172729931,3063.7188339702625,0,3063.7188339702625,383.953012223214,425.2186540488346,,,,,,,,102.91836932728856,2.117909049247544,2.117909049247544,2.117909049247544,,,
410.3361341140975,250,0,,,,,,,0,29.972963069735,0,0,0,29.972963069735,29.972963069735,,,,,,,
410.3361341140975,275,,175.60195543584754,3060.735515255486,0,3060.735515255486,383.9061170597041,425.2186540488346,,,,,,,,102.8622815803208,2.408464334347684,2.408464334347684,2.4084643343476273,,,
410.3361341140975,300,0,,,,,,,0,29.96156622196478,0,0,0,29.96156622196478,29.96156622196478,,,,,,,
410.3361341140975,325,,162.58732275422756,3057.485235881753,0,3057.485235881753,383.8549344200312,425.2186540488346,,,,,,,,102.80612445112531,2.6767146517286733,2.6767146517286733,2.6767146517286733,,,
410.3361341140975,350,0,,,,,,,0,29.94600063583739,0,0,0,29.94600063583739,29.94600063583739,,,,,,,
410.3361341140975,375,,148.36164543007018,3053.863213369398,0,3053.863213369398,383.79778566304293,425.2186540488346,,,,,,,,102.74992132561255,2.9284613079918245,2.9284613079918245,2.9284613079918245,,,
410.3361341140975,400,0,,,,,,,0,29.9255641032889,0,0,0,29.9255641032889,29.9255641032889,,,,,,,
410.3361341140975,425,,132.4014982451737,3049.841183930203,0,3049.841183930203,383.73418650058943,425.2186540488346,,,,,,,,102.69369563349727,3.1665357149427678,3.1665357149427678,3.1665357149427678,,,
410.3361341140975,450,0,,,,,,,0,29.90008638781114,0,0,0,29.90008638781114,29.90008638781114,,,,,,,
410.3361341140975,475,,113.57290083822829,3045.4632216506284,0,3045.463221650628,383.66479218921995,425.2186540488346,,,,,,,,102.63746995071192,3.3909466018086505,3.3909466018086505,3.3909466018086505,,,
410.3361341140975,500,0,,,,,,,0,29.870003905229435,0,0,0,29.870003905229435,29.870003905229435,,,,,,,
410.3361341140975,525,,89.69924927023153,3040.8059717840015,0,3040.8059717840015,383.5907792627662,425.2186540488346,,,,,,,,102.5812649453037,3.599640914850056,3.599640914850056,3.599640914850056,,,
410.3361341140975,550,0,,,,,,,0,29.8362750652538,0,0,0,29.8362750652538,29.8362750652538,,,,,,,
410.3361341140975,575,,61.50445820065427,3036.212631527983,0,3036.212631527983,383.5175876748849,425.2186540488346,,,,,,,,102.52509845624,3.789607520466575,3.789607520466575,3.789607520466575,,,
410.3361341140975,600,0,,,,,,,0,29.800179411009932,0,0,0,29.800179411009932,29.800179411009932,,,,,,,
410.3361341140975,625,,95.1501988196207,3032.465314998188,0,3032.465314998188,383.4577334046966,425.2186540488346,,,,,,,,102.4689849153818,3.9579774070148233,3.9579774070148233,3.9579774070148233,,,
410.3361341140975,650,0,,,,,,,0,29.76307404682416,0,0,0,29.76307404682416,29.76307404682416,,,,,,,
410.3361341140975,675,,110.53011957949964,3028.707960618056,0,3028.707960618056,383.3975889218247,425.2186540488346,,,,,,,,102.41293519542612,4.102849630562332,4.102849630562332,4.102849630562332,,,
410.3361341140975,700,0,,,,,,,0,29.726177163829973,0,0,0,29.726177163829973,29.726177163829973,,,,,,,
410.3361341140975,725,,120.35465224341885,3025.131525842783,0,3025.131525842783,383.3402192437631,425.2186540488346,,,,,,,,102.3569568487347,4.223709749325565,4.223709749325565,4.223709749325565,,,
410.3361341140975,750,0,,,,,,,0,29.690425205531913,0,0,0,29.690425205531913,29.690425205531913,,,,,,,
410.3361341140975,775,,127.05786679945057,3021.8016372780326,0,3021.8016372780326,383.2866978246346,425.2186540488346,,,,,,,,102.3010546143257,4.321452097847498,4.321452097847498,4.321452097847498,,,
410.3361341140975,800,0,,,,,,,0,29.65641591911391,0,0,0,29.65641591911391,29.65641591911391,,,,,,,
410.3361341140975,825,,131.67964173605,3018.7346367690147,0,3018.7346367690147,383.2373106150422,425.2186540488346,,,,,,,,102.24523105345527,4.39811719277327,4.39811719277327,4.39811719277327,,,
410.3361341140975,850,0,,,,,,,0,29.62442447590832,0,0,0,29.62442447590832,29.62442447590832,,,,,,,
410.3361341140975,875,,134.83173763911756,3015.916684136277,0,3015.916684136277,383.19185647288646,425.2186540488346,,,,,,,,102.18948718818055,4.456486589980898,4.456486589980898,4.456486589980898,,,
410.3361341140975,900,0,,,,,,,0,29.594466357000968,0,0,0,29.594466357000968,29.594466357000968,,,,,,,
410.3361341140975,925,,136.93388959014058,3013.316811854752,0,3013.316811854752,383.14985419779526,425.2186540488346,,,,,,,,102.13382305616888,4.499652812515535,4.499652812515535,4.499652812515478,,,
410.3361341140975,950,0,,,,,,,0,29.566379172908977,0,0,0,29.566379172908977,29.566379172908977,,,,,,,
410.3361341140975,975,,90.96276327789673,3028.111335448202,0,3028.111335448202,383.38802666825563,425.2186540488346,,,,,,,,80.02871063840794,3.401206081147336,3.401206081147336,3.401206081147336,,,
410.3361341140975,1000,0,,,,,,,0,29.541776126430435,0,0,0,29.541776126430435,29.541776126430435,,,,,,,
607.3950807084179,0,0,,,,,,,0,30,0,0,0,30,30,,,,,,,
607.3950807084179,25,,236.09222661609118,3076.4253081624297,0,3076.4253081624297,384.1518554449769,425.2186540488346,,,,,,,,103.525969563199,0.542458417164255,0.542458417164255,0.542458417164255,,,
607.3950807084179,50,0,,,,,,,0,29.998827518485786,0,0,0,29.998827518485786,29.998827518485786,,,,,,,
607.3950807084179,75,,224.44601737821813,3073.1435877645886,0,3073.1435877645886,384.1006377166749,425.2186540488346,,,,,,,,103.47048315789976,1.0092908814258408,1.0092908814258408,1.0092908814258408,,,
607.3950807084179,100,0,,,,,,,0,29.997496671654208,0,0,0,29.997496671654208,29.997496671654208,,,,,,,
607.3950807084179,125,,213.1440548340091,3070.286754412601,0,3070.2867544126007,384.0559731969734,425.2186540488346,,,,,,,,103.41474215400083,1.4131061269316092,1.4131061269316092,1.4131061269316092,,,
607.3950807084179,150,0,,,,,,,0,29.99600202532273,0,0,0,29.99600202532273,29.99600202532273,,,,,,,
607.3950807084179,175,,202.27482745321115,3067.8244241146044,0,3067.8244241146044,384.01741805412104,425.2186540488346,,,,,,,,103.35885411990388,1.7627301045573631,1.7627301045573631,1.7627301045573631,,,
607.3950807084179,200,0,,,,,,,0,29.99433100584393,0,0,0,29.99433100584393,29.99433100584393,,,,,,,
607.3950807084179,225,,191.88969015133645,3065.6838860102657,0,3065.683886010266,383.9838575108909,425.2186540488346,,,,,,,,103.30283834938382,2.0657889408070673,2.0657889408070673,2.0657889408070673,,,
607.3950807084179,250,0,,,,,,,0,29.99245468911783,0,0,0,29.99245468911783,29.99245468911783,,,,,,,
607.3950807084179,275,,181.99995010327183,3063.801252592294,0,3063.8012525922945,383.9543066380316,425.2186540488346,,,,,,,,103.24671195403059,2.328940032101002,2.328940032101002,2.328940032101002,,,
607.3950807084179,300,0,,,,,,,0,29.990315482701895,0,0,0,29.990315482701895,29.990315482701895,,,,,,,
607.3950807084179,325,,172.57694839499337,3062.1176347928576,0,3062.1176347928576,383.9278527073226,425.2186540488346,,,,,,,,103.19049018956267,2.5580636887180503,2.5580636887180503,2.5580636887180503,,,
607.3950807084179,350,0,,,,,,,0,29.987815127613427,0,0,0,29.987815127613427,29.987815127613427,,,,,,,
607.3950807084179,375,,163.54300811808383,3060.580747119792,0,3060.580747119792,383.90368205830015,425.2186540488346,,,,,,,,103.13418678405506,2.758402432414357,2.758402432414357,2.758402432414357,,,
607.3950807084179,400,0,,,,,,,0,29.98480844986999,0,0,0,29.98480844986999,29.98480844986999,,,,,,,
607.3950807084179,425,,154.80895897516166,3059.127988247302,0,3059.127988247302,383.88081497716234,425.2186540488346,,,,,,,,103.07781425741379,2.934634870509285,2.934634870509285,2.934634870509285,,,
607.3950807084179,450,0,,,,,,,0,29.981108052642522,0,0,0,29.981108052642522,29.981108052642522,,,,,,,
607.3950807084179,475,,146.2368000292822,3057.71227179275,0,3057.71227179275,383.85851267988227,425.2186540488346,,,,,,,,103.02138420535333,3.0908842329808977,3.0908842329808977,3.0908842329808977,,,
607.3950807084179,500,0,,,,,,,0,29.976502437055316,0,0,0,29.976502437055316,29.976502437055316,,,,,,,
607.3950807084179,525,,137.67443269901707,3056.2886490773726,0,3056.2886490773726,383.836067614139,425.2186540488346,,,,,,,,102.9649075210076,3.230679297729978,3.230679297729978,3.230679297729978,,,
607.3950807084179,550,0,,,,,,,0,29.970785541686283,0,0,0,29.970785541686283,29.970785541686283,,,,,,,
607.3950807084179,575,,128.95035814786476,3054.8217863150294,0,3054.8217863150294,383.81292168553165,425.2186540488346,,,,,,,,102.90839453644753,3.356899451010804,3.356899451010804,3.356899451010804,,,
