time,Pressure drop - total,Pressure drop - gravity,Pressure drop - friction,Total mass - gas,Total mass - oil,Total mass - total,Total volume - gas,Total volume - oil,Total volume - total
[s],[Pa],[Pa],[Pa],[kg],[kg],[kg],[m³],[m³],[m³]
0,0,0,0,0,17854.051676275656,17854.051676275656,0,20.10619298297468,20.10619298297468
108.40974739225719,303.53679388354806,0,303.53679388354806,2.4563757501099566e-08,20023.61303833381,20023.613038358373,2.540875547838616e-11,20.106192982949267,20.106192982974676
215.05479694997214,642.797405012577,0,642.797405012577,2.6278229823661467e-10,22157.56045249173,22157.56045249199,2.3841749121975217e-13,20.106192982974434,20.106192982974672
