time,MFR - total gas,MFR - total oil,MFR - total liquid,MFR - total,Opening fraction,Pressure (inlet),Pressure (outlet),Pressure drop
[s],[kg/s],[?],[kg/s],[kg/s],[-],[?],[?],[Pa]
0,0,0,0,0,0.22,80,80,0
61.34132566839169,0,98.7396815415597,98.7396815415597,98.7396815415597,0.22,303.75735590717886,80.68031328735977,222.73136942461622
123.70136357205287,0,109.27612734953132,109.27612734953132,109.27612734953132,0.22,346.8754730496623,80.82258109956848,265.6457574579074
184.09356710128,0,111.24274072569852,111.24274072569852,111.24274072569852,0.22,354.72642810091446,80.84815927704486,273.4596270617452
244.15321476624266,0,111.28534634408008,111.28534634408008,111.28534634408008,0.22,355.2248654974426,80.85058125579609,273.95487574129453
304.13826581146475,0,110.89702942765858,110.89702942765858,110.89702942765858,0.22,354.51392646727396,80.8499144808804,273.2459698650032
363.9922350445215,0,110.51696446558554,110.51696446558554,110.51696446558554,0.22,353.9059783053566,80.84959935601505,272.6396615287268
423.6914628593709,0,110.26301193154794,110.26301193154794,110.26301193154794,0.22,353.5799616328831,80.8497623140317,272.31429958137767
483.26524904307223,0,110.12321077127375,110.12321077127375,110.12321077127375,0.22,353.44172272826,80.85005528551086,272.17618035819686
542.7583898538062,0,110.05494628517407,110.05494628517407,110.05494628517407,0.22,353.39101460304903,80.85027277932022,272.1258144497894
602.2071226970645,0,110.02382124568885,110.02382124568885,110.02382124568885,0.22,353.3735388390656,80.85040502518002,272.10865492953246
661.6337896324775,0,110.01019390219301,110.01019390219301,110.01019390219301,0.22,353.3681570925568,80.85047952132958,272.1034902152698
721.0498015625332,0,110.0045099823817,110.0045099823817,110.0045099823817,0.22,353.368994858094,80.8505374987258,272.1037970904574
780.4606548113293,0,110.00204317943371,110.00204317943371,110.00204317943371,0.22,353.3700742331339,80.8505665697885,272.1046007135592
844.1124826645399,0,110.00088192631618,110.00088192631618,110.00088192631618,0.22,353.37076906087,80.85058113816564,272.10515390177625
