time,Pressure drop - total,Pressure drop - gravity,Pressure drop - friction,Total mass - gas,Total mass - oil,Total mass - total,Total volume - gas,Total volume - oil,Total volume - total
[s],[Pa],[Pa],[Pa],[kg],[kg],[kg],[m³],[m³],[m³]
0,0,0,0,0,17854.051676275656,17854.051676275656,0,20.10619298297468,20.10619298297468
108.40974739225719,-0.0009782694287458437,0,-0.0009782694287458437,0,17881.081295084565,17881.081295084565,0,20.106192982974672,20.106192982974672
215.05479694997214,-0.0006675941430823877,0,-0.0006675941430823877,0,17902.17553081322,17902.17553081322,0,20.106192982974672,20.106192982974672
316.71812821445434,-0.00043570215322077276,0,-0.00043570215322077276,0,17918.122058542434,17918.122058542434,0,20.106192982974672,20.106192982974672
422.8758286534388,-0.0002858908495306969,0,-0.0002858908495306969,0,17931.4964300637,17931.4964300637,0,20.106192982974672,20.106192982974672
512.5197526706611,-0.00020283445894252509,0,-0.00020283445894252509,0,17940.79073013922,17940.79073013922,0,20.106192982974672,20.106192982974672
620.9889007315,-0.00013535032300278544,0,-0.00013535032300278544,0,17950.129772970133,17950.129772970133,0,20.106192982974672,20.106192982974672
752.2365698851152,-8.864464957732707e-05,0,-8.864464957732707e-05,0,17959.22727062922,17959.22727062922,0,20.106192982974672,20.106192982974672
827.8602268736267,-6.932359668891877e-05,0,-6.932359668891877e-05,0,17963.620826526,17963.620826526,0,20.106192982974672,20.106192982974672
911.0462495609895,-5.275345388799906e-05,0,-5.275345388799906e-05,0,17967.869629888573,17967.869629888573,0,20.106192982974672,20.106192982974672
1002.5508745170886,-4.1939852004870775e-05,0,-4.1939852004870775e-05,0,17971.912940804148,17971.912940804148,0,20.106192982974672,20.106192982974672
1102.5508745170887,-3.2905780845321715e-05,0,-3.2905780845321715e-05,0,17975.73934608837,17975.73934608837,0,20.106192982974672,20.106192982974672
1202.5508745170887,-2.5033339969813825e-05,0,-2.5033339969813825e-05,0,17979.060465793045,17979.060465793045,0,20.106192982974672,20.106192982974672
